Board Stocks,Board I,Board II,Board III,Board Noble,BoardUpsiteDownI,BoardUpsiteDownII,BoardUpsiteDownIII,BoardUpsiteDownNoble,KING Score,KING Stocks,KING Stocks Const,KING Open,KING Noble,KING Upsite Down,QueenOfGame Score,QueenOfGame Stocks,QueenOfGame Stocks Const,QueenOfGame Open,QueenOfGame Noble,QueenOfGame Upsite Down,TheGod Score,TheGod Stocks,TheGod Stocks Const,TheGod Open,TheGod Noble,TheGod Upsite Down,KingOfDestruction Score,KingOfDestruction Stocks,KingOfDestruction Stocks Const,KingOfDestruction Open,KingOfDestruction Noble,KingOfDestruction Upsite Down
"{'red': 7, 'blue': 7, 'green': 7, 'white': 7, 'black': 7, 'auto_color': 5}","['I_23', 'I_28', 'I_7', 'I_19']","['II_22', 'II_7', 'II_19', 'II_10']","['III_7', 'III_5', 'III_13', 'III_20']","['Noble_1', 'Noble_7', 'Noble_4', 'Noble_5', 'Noble_10']","['I_37', 'I_40', 'I_14', 'I_33', 'I_32', 'I_3', 'I_5', 'I_21', 'I_6', 'I_2', 'I_9', 'I_38', 'I_18', 'I_10', 'I_31', 'I_1', 'I_30', 'I_35', 'I_34', 'I_25', 'I_20', 'I_4', 'I_12', 'I_39', 'I_13', 'I_24', 'I_29', 'I_11', 'I_36', 'I_8', 'I_22', 'I_26', 'I_16', 'I_17', 'I_27', 'I_15']","['II_21', 'II_8', 'II_16', 'II_26', 'II_1', 'II_12', 'II_2', 'II_4', 'II_29', 'II_6', 'II_14', 'II_5', 'II_25', 'II_3', 'II_24', 'II_13', 'II_15', 'II_27', 'II_18', 'II_28', 'II_17', 'II_9', 'II_11', 'II_30', 'II_20', 'II_23']","['III_18', 'III_12', 'III_11', 'III_4', 'III_16', 'III_1', 'III_3', 'III_17', 'III_2', 'III_6', 'III_10', 'III_15', 'III_14', 'III_19', 'III_8', 'III_9']","['Noble_9', 'Noble_3', 'Noble_2', 'Noble_6', 'Noble_8']",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 5, 'blue': 5, 'green': 5, 'white': 7, 'black': 5, 'auto_color': 4}","['I_23', 'I_28', 'I_7', 'I_19']","['II_22', 'II_21', 'II_19', 'II_10']","['III_7', 'III_5', 'III_13', 'III_20']","['Noble_1', 'Noble_7', 'Noble_4', 'Noble_5', 'Noble_10']","['I_37', 'I_40', 'I_14', 'I_33', 'I_32', 'I_3', 'I_5', 'I_21', 'I_6', 'I_2', 'I_9', 'I_38', 'I_18', 'I_10', 'I_31', 'I_1', 'I_30', 'I_35', 'I_34', 'I_25', 'I_20', 'I_4', 'I_12', 'I_39', 'I_13', 'I_24', 'I_29', 'I_11', 'I_36', 'I_8', 'I_22', 'I_26', 'I_16', 'I_17', 'I_27', 'I_15']","['II_8', 'II_16', 'II_26', 'II_1', 'II_12', 'II_2', 'II_4', 'II_29', 'II_6', 'II_14', 'II_5', 'II_25', 'II_3', 'II_24', 'II_13', 'II_15', 'II_27', 'II_18', 'II_28', 'II_17', 'II_9', 'II_11', 'II_30', 'II_20', 'II_23']","['III_18', 'III_12', 'III_11', 'III_4', 'III_16', 'III_1', 'III_3', 'III_17', 'III_2', 'III_6', 'III_10', 'III_15', 'III_14', 'III_19', 'III_8', 'III_9']","['Noble_9', 'Noble_3', 'Noble_2', 'Noble_6', 'Noble_8']",0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['II_7'],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 3, 'blue': 3, 'green': 3, 'white': 7, 'black': 3, 'auto_color': 3}","['I_23', 'I_28', 'I_7', 'I_19']","['II_22', 'II_21', 'II_19', 'II_10']","['III_18', 'III_5', 'III_13', 'III_20']","['Noble_1', 'Noble_7', 'Noble_4', 'Noble_5', 'Noble_10']","['I_37', 'I_40', 'I_14', 'I_33', 'I_32', 'I_3', 'I_5', 'I_21', 'I_6', 'I_2', 'I_9', 'I_38', 'I_18', 'I_10', 'I_31', 'I_1', 'I_30', 'I_35', 'I_34', 'I_25', 'I_20', 'I_4', 'I_12', 'I_39', 'I_13', 'I_24', 'I_29', 'I_11', 'I_36', 'I_8', 'I_22', 'I_26', 'I_16', 'I_17', 'I_27', 'I_15']","['II_8', 'II_16', 'II_26', 'II_1', 'II_12', 'II_2', 'II_4', 'II_29', 'II_6', 'II_14', 'II_5', 'II_25', 'II_3', 'II_24', 'II_13', 'II_15', 'II_27', 'II_18', 'II_28', 'II_17', 'II_9', 'II_11', 'II_30', 'II_20', 'II_23']","['III_12', 'III_11', 'III_4', 'III_16', 'III_1', 'III_3', 'III_17', 'III_2', 'III_6', 'III_10', 'III_15', 'III_14', 'III_19', 'III_8', 'III_9']","['Noble_9', 'Noble_3', 'Noble_2', 'Noble_6', 'Noble_8']",0,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"['II_7', 'III_7']",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 4, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 1, 'blue': 1, 'green': 1, 'white': 7, 'black': 7, 'auto_color': 2}","['I_23', 'I_37', 'I_40', 'I_19']","['II_22', 'II_21', 'II_19', 'II_10']","['III_18', 'III_5', 'III_13', 'III_20']","['Noble_1', 'Noble_7', 'Noble_4', 'Noble_5', 'Noble_10']","['I_14', 'I_33', 'I_32', 'I_3', 'I_5', 'I_21', 'I_6', 'I_2', 'I_9', 'I_38', 'I_18', 'I_10', 'I_31', 'I_1', 'I_30', 'I_35', 'I_34', 'I_25', 'I_20', 'I_4', 'I_12', 'I_39', 'I_13', 'I_24', 'I_29', 'I_11', 'I_36', 'I_8', 'I_22', 'I_26', 'I_16', 'I_17', 'I_27', 'I_15']","['II_8', 'II_16', 'II_26', 'II_1', 'II_12', 'II_2', 'II_4', 'II_29', 'II_6', 'II_14', 'II_5', 'II_25', 'II_3', 'II_24', 'II_13', 'II_15', 'II_27', 'II_18', 'II_28', 'II_17', 'II_9', 'II_11', 'II_30', 'II_20', 'II_23']","['III_12', 'III_11', 'III_4', 'III_16', 'III_1', 'III_3', 'III_17', 'III_2', 'III_6', 'III_10', 'III_15', 'III_14', 'III_19', 'III_8', 'III_9']","['Noble_9', 'Noble_3', 'Noble_2', 'Noble_6', 'Noble_8']",0,"{'red': 3, 'blue': 3, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 3}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"['II_7', 'III_7', 'I_28']",1,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 0}",['I_7'],[],[],0,"{'red': 3, 'blue': 3, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 1, 'blue': 0, 'green': 3, 'white': 6, 'black': 5, 'auto_color': 1}","['I_23', 'I_14', 'I_40', 'I_19']","['II_22', 'II_21', 'II_19', 'II_10']","['III_18', 'III_5', 'III_13', 'III_12']","['Noble_1', 'Noble_7', 'Noble_4', 'Noble_5', 'Noble_10']","['I_33', 'I_32', 'I_3', 'I_5', 'I_21', 'I_6', 'I_2', 'I_9', 'I_38', 'I_18', 'I_10', 'I_31', 'I_1', 'I_30', 'I_35', 'I_34', 'I_25', 'I_20', 'I_4', 'I_12', 'I_39', 'I_13', 'I_24', 'I_29', 'I_11', 'I_36', 'I_8', 'I_22', 'I_26', 'I_16', 'I_17', 'I_27', 'I_15']","['II_8', 'II_16', 'II_26', 'II_1', 'II_12', 'II_2', 'II_4', 'II_29', 'II_6', 'II_14', 'II_5', 'II_25', 'II_3', 'II_24', 'II_13', 'II_15', 'II_27', 'II_18', 'II_28', 'II_17', 'II_9', 'II_11', 'II_30', 'II_20', 'II_23']","['III_11', 'III_4', 'III_16', 'III_1', 'III_3', 'III_17', 'III_2', 'III_6', 'III_10', 'III_15', 'III_14', 'III_19', 'III_8', 'III_9']","['Noble_9', 'Noble_3', 'Noble_2', 'Noble_6', 'Noble_8']",0,"{'red': 3, 'blue': 3, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['I_37'],[],[],0,"{'red': 0, 'blue': 1, 'green': 1, 'white': 1, 'black': 0, 'auto_color': 3}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"['II_7', 'III_7', 'I_28']",1,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 0}",['I_7'],[],[],0,"{'red': 3, 'blue': 3, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['III_20']
"{'red': 1, 'blue': 2, 'green': 4, 'white': 5, 'black': 3, 'auto_color': 5}","['I_23', 'I_14', 'I_33', 'I_19']","['II_22', 'II_21', 'II_19', 'II_10']","['III_18', 'III_5', 'III_13', 'III_12']","['Noble_1', 'Noble_7', 'Noble_4', 'Noble_5', 'Noble_10']","['I_32', 'I_3', 'I_5', 'I_21', 'I_6', 'I_2', 'I_9', 'I_38', 'I_18', 'I_10', 'I_31', 'I_1', 'I_30', 'I_35', 'I_34', 'I_25', 'I_20', 'I_4', 'I_12', 'I_39', 'I_13', 'I_24', 'I_29', 'I_11', 'I_36', 'I_8', 'I_22', 'I_26', 'I_16', 'I_17', 'I_27', 'I_15']","['II_8', 'II_16', 'II_26', 'II_1', 'II_12', 'II_2', 'II_4', 'II_29', 'II_6', 'II_14', 'II_5', 'II_25', 'II_3', 'II_24', 'II_13', 'II_15', 'II_27', 'II_18', 'II_28', 'II_17', 'II_9', 'II_11', 'II_30', 'II_20', 'II_23']","['III_11', 'III_4', 'III_16', 'III_1', 'III_3', 'III_17', 'III_2', 'III_6', 'III_10', 'III_15', 'III_14', 'III_19', 'III_8', 'III_9']","['Noble_9', 'Noble_3', 'Noble_2', 'Noble_6', 'Noble_8']",0,"{'red': 4, 'blue': 3, 'green': 1, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['I_37'],[],[],1,"{'red': 0, 'blue': 1, 'green': 0, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}",['I_28'],[],"['II_7', 'III_7']",1,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 4, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 0}",['I_7'],[],[],0,"{'red': 2, 'blue': 1, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['I_40'],[],['III_20']
"{'red': 2, 'blue': 3, 'green': 7, 'white': 2, 'black': 3, 'auto_color': 5}","['I_32', 'I_14', 'I_3', 'I_19']","['II_22', 'II_21', 'II_19', 'II_10']","['III_18', 'III_5', 'III_13', 'III_12']","['Noble_1', 'Noble_7', 'Noble_4', 'Noble_5', 'Noble_10']","['I_5', 'I_21', 'I_6', 'I_2', 'I_9', 'I_38', 'I_18', 'I_10', 'I_31', 'I_1', 'I_30', 'I_35', 'I_34', 'I_25', 'I_20', 'I_4', 'I_12', 'I_39', 'I_13', 'I_24', 'I_29', 'I_11', 'I_36', 'I_8', 'I_22', 'I_26', 'I_16', 'I_17', 'I_27', 'I_15']","['II_8', 'II_16', 'II_26', 'II_1', 'II_12', 'II_2', 'II_4', 'II_29', 'II_6', 'II_14', 'II_5', 'II_25', 'II_3', 'II_24', 'II_13', 'II_15', 'II_27', 'II_18', 'II_28', 'II_17', 'II_9', 'II_11', 'II_30', 'II_20', 'II_23']","['III_11', 'III_4', 'III_16', 'III_1', 'III_3', 'III_17', 'III_2', 'III_6', 'III_10', 'III_15', 'III_14', 'III_19', 'III_8', 'III_9']","['Noble_9', 'Noble_3', 'Noble_2', 'Noble_6', 'Noble_8']",0,"{'red': 4, 'blue': 2, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}","['I_37', 'I_23']",[],[],1,"{'red': 0, 'blue': 1, 'green': 0, 'white': 3, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}",['I_28'],[],"['II_7', 'III_7']",1,"{'red': 0, 'blue': 0, 'green': 0, 'white': 2, 'black': 4, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 0}",['I_7'],[],[],0,"{'red': 1, 'blue': 1, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 2}","['I_40', 'I_33']",[],['III_20']
"{'red': 4, 'blue': 1, 'green': 6, 'white': 0, 'black': 1, 'auto_color': 5}","['I_32', 'I_14', 'I_3', 'I_19']","['II_22', 'II_8', 'II_19', 'II_10']","['III_18', 'III_5', 'III_13', 'III_12']","['Noble_1', 'Noble_7', 'Noble_4', 'Noble_5', 'Noble_10']","['I_5', 'I_21', 'I_6', 'I_2', 'I_9', 'I_38', 'I_18', 'I_10', 'I_31', 'I_1', 'I_30', 'I_35', 'I_34', 'I_25', 'I_20', 'I_4', 'I_12', 'I_39', 'I_13', 'I_24', 'I_29', 'I_11', 'I_36', 'I_8', 'I_22', 'I_26', 'I_16', 'I_17', 'I_27', 'I_15']","['II_16', 'II_26', 'II_1', 'II_12', 'II_2', 'II_4', 'II_29', 'II_6', 'II_14', 'II_5', 'II_25', 'II_3', 'II_24', 'II_13', 'II_15', 'II_27', 'II_18', 'II_28', 'II_17', 'II_9', 'II_11', 'II_30', 'II_20', 'II_23']","['III_11', 'III_4', 'III_16', 'III_1', 'III_3', 'III_17', 'III_2', 'III_6', 'III_10', 'III_15', 'III_14', 'III_19', 'III_8', 'III_9']","['Noble_9', 'Noble_3', 'Noble_2', 'Noble_6', 'Noble_8']",2,"{'red': 0, 'blue': 2, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 1, 'black': 1}","['I_37', 'I_23', 'II_21']",[],[],1,"{'red': 0, 'blue': 2, 'green': 0, 'white': 4, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}",['I_28'],[],"['II_7', 'III_7']",1,"{'red': 1, 'blue': 0, 'green': 0, 'white': 3, 'black': 5, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 0}",['I_7'],[],[],0,"{'red': 2, 'blue': 2, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 2}","['I_40', 'I_33']",[],['III_20']
"{'red': 3, 'blue': 0, 'green': 3, 'white': 1, 'black': 4, 'auto_color': 5}","['I_32', 'I_14', 'I_3', 'I_19']","['II_22', 'II_16', 'II_19', 'II_10']","['III_18', 'III_5', 'III_13', 'III_12']","['Noble_1', 'Noble_7', 'Noble_4', 'Noble_5', 'Noble_10']","['I_5', 'I_21', 'I_6', 'I_2', 'I_9', 'I_38', 'I_18', 'I_10', 'I_31', 'I_1', 'I_30', 'I_35', 'I_34', 'I_25', 'I_20', 'I_4', 'I_12', 'I_39', 'I_13', 'I_24', 'I_29', 'I_11', 'I_36', 'I_8', 'I_22', 'I_26', 'I_16', 'I_17', 'I_27', 'I_15']","['II_26', 'II_1', 'II_12', 'II_2', 'II_4', 'II_29', 'II_6', 'II_14', 'II_5', 'II_25', 'II_3', 'II_24', 'II_13', 'II_15', 'II_27', 'II_18', 'II_28', 'II_17', 'II_9', 'II_11', 'II_30', 'II_20', 'II_23']","['III_11', 'III_4', 'III_16', 'III_1', 'III_3', 'III_17', 'III_2', 'III_6', 'III_10', 'III_15', 'III_14', 'III_19', 'III_8', 'III_9']","['Noble_9', 'Noble_3', 'Noble_2', 'Noble_6', 'Noble_8']",2,"{'red': 0, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 1, 'black': 1}","['I_37', 'I_23', 'II_21']",[],[],1,"{'red': 1, 'blue': 3, 'green': 0, 'white': 4, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}",['I_28'],[],"['II_7', 'III_7']",3,"{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 1, 'white': 0, 'black': 0}","['I_7', 'II_8']",[],[],0,"{'red': 3, 'blue': 2, 'green': 2, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 2}","['I_40', 'I_33']",[],['III_20']
"{'red': 3, 'blue': 0, 'green': 2, 'white': 1, 'black': 2, 'auto_color': 4}","['I_32', 'I_5', 'I_3', 'I_19']","['II_22', 'II_16', 'II_26', 'II_10']","['III_18', 'III_5', 'III_13', 'III_12']","['Noble_1', 'Noble_7', 'Noble_4', 'Noble_5', 'Noble_10']","['I_21', 'I_6', 'I_2', 'I_9', 'I_38', 'I_18', 'I_10', 'I_31', 'I_1', 'I_30', 'I_35', 'I_34', 'I_25', 'I_20', 'I_4', 'I_12', 'I_39', 'I_13', 'I_24', 'I_29', 'I_11', 'I_36', 'I_8', 'I_22', 'I_26', 'I_16', 'I_17', 'I_27', 'I_15']","['II_1', 'II_12', 'II_2', 'II_4', 'II_29', 'II_6', 'II_14', 'II_5', 'II_25', 'II_3', 'II_24', 'II_13', 'II_15', 'II_27', 'II_18', 'II_28', 'II_17', 'II_9', 'II_11', 'II_30', 'II_20', 'II_23']","['III_11', 'III_4', 'III_16', 'III_1', 'III_3', 'III_17', 'III_2', 'III_6', 'III_10', 'III_15', 'III_14', 'III_19', 'III_8', 'III_9']","['Noble_9', 'Noble_3', 'Noble_2', 'Noble_6', 'Noble_8']",2,"{'red': 1, 'blue': 2, 'green': 3, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 1, 'black': 1}","['I_37', 'I_23', 'II_21']",[],[],1,"{'red': 0, 'blue': 3, 'green': 0, 'white': 4, 'black': 2, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}",['I_28'],[],"['II_7', 'III_7', 'II_19']",3,"{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 3, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 1, 'white': 0, 'black': 0}","['I_7', 'II_8']",[],[],0,"{'red': 3, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 2}","['I_40', 'I_33', 'I_14']",[],['III_20']
"{'red': 2, 'blue': 3, 'green': 3, 'white': 5, 'black': 1, 'auto_color': 5}","['I_6', 'I_5', 'I_3', 'I_21']","['II_22', 'II_16', 'II_26', 'II_10']","['III_18', 'III_5', 'III_13', 'III_12']","['Noble_1', 'Noble_7', 'Noble_4', 'Noble_5', 'Noble_10']","['I_2', 'I_9', 'I_38', 'I_18', 'I_10', 'I_31', 'I_1', 'I_30', 'I_35', 'I_34', 'I_25', 'I_20', 'I_4', 'I_12', 'I_39', 'I_13', 'I_24', 'I_29', 'I_11', 'I_36', 'I_8', 'I_22', 'I_26', 'I_16', 'I_17', 'I_27', 'I_15']","['II_1', 'II_12', 'II_2', 'II_4', 'II_29', 'II_6', 'II_14', 'II_5', 'II_25', 'II_3', 'II_24', 'II_13', 'II_15', 'II_27', 'II_18', 'II_28', 'II_17', 'II_9', 'II_11', 'II_30', 'II_20', 'II_23']","['III_11', 'III_4', 'III_16', 'III_1', 'III_3', 'III_17', 'III_2', 'III_6', 'III_10', 'III_15', 'III_14', 'III_19', 'III_8', 'III_9']","['Noble_9', 'Noble_3', 'Noble_2', 'Noble_6', 'Noble_8']",2,"{'red': 1, 'blue': 1, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 2, 'blue': 0, 'green': 0, 'white': 1, 'black': 1}","['I_37', 'I_23', 'II_21', 'I_19']",[],[],4,"{'red': 0, 'blue': 3, 'green': 0, 'white': 0, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 2, 'black': 0}","['I_28', 'II_19']",[],"['II_7', 'III_7']",3,"{'red': 1, 'blue': 0, 'green': 0, 'white': 2, 'black': 4, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 1, 'white': 0, 'black': 0}","['I_7', 'II_8']",[],[],0,"{'red': 3, 'blue': 0, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 1, 'black': 2}","['I_40', 'I_33', 'I_14', 'I_32']",[],['III_20']
"{'red': 4, 'blue': 4, 'green': 3, 'white': 2, 'black': 0, 'auto_color': 5}","['I_9', 'I_5', 'I_3', 'I_21']","['II_22', 'II_16', 'II_26', 'II_10']","['III_18', 'III_5', 'III_13', 'III_12']","['Noble_1', 'Noble_7', 'Noble_4', 'Noble_5', 'Noble_10']","['I_38', 'I_18', 'I_10', 'I_31', 'I_1', 'I_30', 'I_35', 'I_34', 'I_25', 'I_20', 'I_4', 'I_12', 'I_39', 'I_13', 'I_24', 'I_29', 'I_11', 'I_36', 'I_8', 'I_22', 'I_26', 'I_16', 'I_17', 'I_27', 'I_15']","['II_1', 'II_12', 'II_2', 'II_4', 'II_29', 'II_6', 'II_14', 'II_5', 'II_25', 'II_3', 'II_24', 'II_13', 'II_15', 'II_27', 'II_18', 'II_28', 'II_17', 'II_9', 'II_11', 'II_30', 'II_20', 'II_23']","['III_11', 'III_4', 'III_16', 'III_1', 'III_3', 'III_17', 'III_2', 'III_6', 'III_10', 'III_15', 'III_14', 'III_19', 'III_8', 'III_9']","['Noble_9', 'Noble_3', 'Noble_2', 'Noble_6', 'Noble_8']",2,"{'red': 1, 'blue': 0, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 2, 'blue': 0, 'green': 1, 'white': 1, 'black': 1}","['I_37', 'I_23', 'II_21', 'I_19', 'I_6']",[],[],4,"{'red': 0, 'blue': 3, 'green': 0, 'white': 2, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 2, 'black': 0}","['I_28', 'II_19']",[],"['II_7', 'III_7']",3,"{'red': 2, 'blue': 0, 'green': 0, 'white': 3, 'black': 5, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 1, 'white': 0, 'black': 0}","['I_7', 'II_8']",[],[],0,"{'red': 0, 'blue': 0, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 1, 'white': 1, 'black': 2}","['I_40', 'I_33', 'I_14', 'I_32', 'I_2']",[],['III_20']
"{'red': 3, 'blue': 1, 'green': 4, 'white': 1, 'black': 1, 'auto_color': 4}","['I_38', 'I_5', 'I_3', 'I_21']","['II_22', 'II_16', 'II_26', 'II_10']","['III_18', 'III_5', 'III_11', 'III_12']","['Noble_1', 'Noble_7', 'Noble_4', 'Noble_5', 'Noble_10']","['I_18', 'I_10', 'I_31', 'I_1', 'I_30', 'I_35', 'I_34', 'I_25', 'I_20', 'I_4', 'I_12', 'I_39', 'I_13', 'I_24', 'I_29', 'I_11', 'I_36', 'I_8', 'I_22', 'I_26', 'I_16', 'I_17', 'I_27', 'I_15']","['II_1', 'II_12', 'II_2', 'II_4', 'II_29', 'II_6', 'II_14', 'II_5', 'II_25', 'II_3', 'II_24', 'II_13', 'II_15', 'II_27', 'II_18', 'II_28', 'II_17', 'II_9', 'II_11', 'II_30', 'II_20', 'II_23']","['III_4', 'III_16', 'III_1', 'III_3', 'III_17', 'III_2', 'III_6', 'III_10', 'III_15', 'III_14', 'III_19', 'III_8', 'III_9']","['Noble_9', 'Noble_3', 'Noble_2', 'Noble_6', 'Noble_8']",2,"{'red': 1, 'blue': 0, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 2, 'blue': 1, 'green': 1, 'white': 1, 'black': 1}","['I_37', 'I_23', 'II_21', 'I_19', 'I_6', 'I_9']",[],[],4,"{'red': 0, 'blue': 5, 'green': 0, 'white': 2, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 2, 'black': 0}","['I_28', 'II_19']",[],"['II_7', 'III_7']",3,"{'red': 2, 'blue': 0, 'green': 0, 'white': 3, 'black': 4, 'auto_color': 1}","{'red': 0, 'blue': 1, 'green': 1, 'white': 0, 'black': 0}","['I_7', 'II_8']",[],['III_13'],0,"{'red': 1, 'blue': 1, 'green': 2, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 1, 'white': 1, 'black': 2}","['I_40', 'I_33', 'I_14', 'I_32', 'I_2']",[],['III_20']
