Board Stocks,Board I,Board II,Board III,Board Noble,BoardUpsiteDownI,BoardUpsiteDownII,BoardUpsiteDownIII,BoardUpsiteDownNoble,KING Score,KING Stocks,KING Stocks Const,KING Open,KING Noble,KING Upsite Down,QueenOfGame Score,QueenOfGame Stocks,QueenOfGame Stocks Const,QueenOfGame Open,QueenOfGame Noble,QueenOfGame Upsite Down,TheGod Score,TheGod Stocks,TheGod Stocks Const,TheGod Open,TheGod Noble,TheGod Upsite Down,KingOfDestruction Score,KingOfDestruction Stocks,KingOfDestruction Stocks Const,KingOfDestruction Open,KingOfDestruction Noble,KingOfDestruction Upsite Down
"{'red': 7, 'blue': 7, 'green': 7, 'white': 7, 'black': 7, 'auto_color': 5}","['I_23', 'I_32', 'I_27', 'I_8']","['II_18', 'II_20', 'II_13', 'II_9']","['III_8', 'III_12', 'III_19', 'III_4']","['Noble_8', 'Noble_3', 'Noble_5', 'Noble_6', 'Noble_1']","['I_18', 'I_35', 'I_6', 'I_22', 'I_7', 'I_16', 'I_2', 'I_36', 'I_28', 'I_25', 'I_33', 'I_39', 'I_17', 'I_30', 'I_34', 'I_14', 'I_24', 'I_5', 'I_29', 'I_21', 'I_19', 'I_3', 'I_1', 'I_40', 'I_20', 'I_38', 'I_9', 'I_11', 'I_4', 'I_15', 'I_31', 'I_12', 'I_26', 'I_10', 'I_37', 'I_13']","['II_15', 'II_12', 'II_27', 'II_17', 'II_23', 'II_14', 'II_29', 'II_22', 'II_19', 'II_2', 'II_28', 'II_8', 'II_10', 'II_6', 'II_16', 'II_24', 'II_4', 'II_7', 'II_11', 'II_5', 'II_25', 'II_21', 'II_1', 'II_30', 'II_26', 'II_3']","['III_3', 'III_20', 'III_13', 'III_15', 'III_1', 'III_5', 'III_16', 'III_6', 'III_7', 'III_11', 'III_9', 'III_2', 'III_18', 'III_17', 'III_14', 'III_10']","['Noble_7', 'Noble_9', 'Noble_4', 'Noble_10', 'Noble_2']",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 3, 'blue': 5, 'green': 5, 'white': 7, 'black': 7, 'auto_color': 4}","['I_23', 'I_32', 'I_27', 'I_8']","['II_18', 'II_20', 'II_15', 'II_9']","['III_8', 'III_12', 'III_19', 'III_4']","['Noble_8', 'Noble_3', 'Noble_5', 'Noble_6', 'Noble_1']","['I_18', 'I_35', 'I_6', 'I_22', 'I_7', 'I_16', 'I_2', 'I_36', 'I_28', 'I_25', 'I_33', 'I_39', 'I_17', 'I_30', 'I_34', 'I_14', 'I_24', 'I_5', 'I_29', 'I_21', 'I_19', 'I_3', 'I_1', 'I_40', 'I_20', 'I_38', 'I_9', 'I_11', 'I_4', 'I_15', 'I_31', 'I_12', 'I_26', 'I_10', 'I_37', 'I_13']","['II_12', 'II_27', 'II_17', 'II_23', 'II_14', 'II_29', 'II_22', 'II_19', 'II_2', 'II_28', 'II_8', 'II_10', 'II_6', 'II_16', 'II_24', 'II_4', 'II_7', 'II_11', 'II_5', 'II_25', 'II_21', 'II_1', 'II_30', 'II_26', 'II_3']","['III_3', 'III_20', 'III_13', 'III_15', 'III_1', 'III_5', 'III_16', 'III_6', 'III_7', 'III_11', 'III_9', 'III_2', 'III_18', 'III_17', 'III_14', 'III_10']","['Noble_7', 'Noble_9', 'Noble_4', 'Noble_10', 'Noble_2']",0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['II_13'],0,"{'red': 2, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 0, 'blue': 2, 'green': 3, 'white': 7, 'black': 4, 'auto_color': 4}","['I_23', 'I_32', 'I_27', 'I_8']","['II_18', 'II_20', 'II_15', 'II_9']","['III_8', 'III_12', 'III_19', 'III_4']","['Noble_8', 'Noble_3', 'Noble_5', 'Noble_6', 'Noble_1']","['I_18', 'I_35', 'I_6', 'I_22', 'I_7', 'I_16', 'I_2', 'I_36', 'I_28', 'I_25', 'I_33', 'I_39', 'I_17', 'I_30', 'I_34', 'I_14', 'I_24', 'I_5', 'I_29', 'I_21', 'I_19', 'I_3', 'I_1', 'I_40', 'I_20', 'I_38', 'I_9', 'I_11', 'I_4', 'I_15', 'I_31', 'I_12', 'I_26', 'I_10', 'I_37', 'I_13']","['II_12', 'II_27', 'II_17', 'II_23', 'II_14', 'II_29', 'II_22', 'II_19', 'II_2', 'II_28', 'II_8', 'II_10', 'II_6', 'II_16', 'II_24', 'II_4', 'II_7', 'II_11', 'II_5', 'II_25', 'II_21', 'II_1', 'II_30', 'II_26', 'II_3']","['III_3', 'III_20', 'III_13', 'III_15', 'III_1', 'III_5', 'III_16', 'III_6', 'III_7', 'III_11', 'III_9', 'III_2', 'III_18', 'III_17', 'III_14', 'III_10']","['Noble_7', 'Noble_9', 'Noble_4', 'Noble_10', 'Noble_2']",0,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 1, 'blue': 1, 'green': 0, 'white': 0, 'black': 1, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['II_13'],0,"{'red': 2, 'blue': 0, 'green': 0, 'white': 0, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 0, 'blue': 0, 'green': 1, 'white': 3, 'black': 2, 'auto_color': 4}","['I_23', 'I_32', 'I_27', 'I_8']","['II_18', 'II_20', 'II_15', 'II_9']","['III_8', 'III_12', 'III_19', 'III_4']","['Noble_8', 'Noble_3', 'Noble_5', 'Noble_6', 'Noble_1']","['I_18', 'I_35', 'I_6', 'I_22', 'I_7', 'I_16', 'I_2', 'I_36', 'I_28', 'I_25', 'I_33', 'I_39', 'I_17', 'I_30', 'I_34', 'I_14', 'I_24', 'I_5', 'I_29', 'I_21', 'I_19', 'I_3', 'I_1', 'I_40', 'I_20', 'I_38', 'I_9', 'I_11', 'I_4', 'I_15', 'I_31', 'I_12', 'I_26', 'I_10', 'I_37', 'I_13']","['II_12', 'II_27', 'II_17', 'II_23', 'II_14', 'II_29', 'II_22', 'II_19', 'II_2', 'II_28', 'II_8', 'II_10', 'II_6', 'II_16', 'II_24', 'II_4', 'II_7', 'II_11', 'II_5', 'II_25', 'II_21', 'II_1', 'II_30', 'II_26', 'II_3']","['III_3', 'III_20', 'III_13', 'III_15', 'III_1', 'III_5', 'III_16', 'III_6', 'III_7', 'III_11', 'III_9', 'III_2', 'III_18', 'III_17', 'III_14', 'III_10']","['Noble_7', 'Noble_9', 'Noble_4', 'Noble_10', 'Noble_2']",0,"{'red': 2, 'blue': 3, 'green': 3, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 1, 'blue': 1, 'green': 0, 'white': 2, 'black': 1, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['II_13'],0,"{'red': 2, 'blue': 0, 'green': 0, 'white': 0, 'black': 4, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 2, 'blue': 3, 'green': 3, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 0, 'blue': 4, 'green': 1, 'white': 4, 'black': 3, 'auto_color': 3}","['I_35', 'I_18', 'I_27', 'I_8']","['II_18', 'II_20', 'II_12', 'II_9']","['III_8', 'III_3', 'III_19', 'III_4']","['Noble_8', 'Noble_3', 'Noble_5', 'Noble_6', 'Noble_1']","['I_6', 'I_22', 'I_7', 'I_16', 'I_2', 'I_36', 'I_28', 'I_25', 'I_33', 'I_39', 'I_17', 'I_30', 'I_34', 'I_14', 'I_24', 'I_5', 'I_29', 'I_21', 'I_19', 'I_3', 'I_1', 'I_40', 'I_20', 'I_38', 'I_9', 'I_11', 'I_4', 'I_15', 'I_31', 'I_12', 'I_26', 'I_10', 'I_37', 'I_13']","['II_27', 'II_17', 'II_23', 'II_14', 'II_29', 'II_22', 'II_19', 'II_2', 'II_28', 'II_8', 'II_10', 'II_6', 'II_16', 'II_24', 'II_4', 'II_7', 'II_11', 'II_5', 'II_25', 'II_21', 'II_1', 'II_30', 'II_26', 'II_3']","['III_20', 'III_13', 'III_15', 'III_1', 'III_5', 'III_16', 'III_6', 'III_7', 'III_11', 'III_9', 'III_2', 'III_18', 'III_17', 'III_14', 'III_10']","['Noble_7', 'Noble_9', 'Noble_4', 'Noble_10', 'Noble_2']",0,"{'red': 2, 'blue': 3, 'green': 3, 'white': 1, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['III_12'],0,"{'red': 1, 'blue': 0, 'green': 0, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",['I_23'],[],['II_13'],0,"{'red': 2, 'blue': 0, 'green': 0, 'white': 0, 'black': 4, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['II_15'],0,"{'red': 2, 'blue': 0, 'green': 3, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}",['I_32'],[],[]
"{'red': 0, 'blue': 4, 'green': 0, 'white': 3, 'black': 7, 'auto_color': 5}","['I_6', 'I_18', 'I_27', 'I_8']","['II_18', 'II_20', 'II_12', 'II_9']","['III_8', 'III_3', 'III_19', 'III_4']","['Noble_8', 'Noble_3', 'Noble_5', 'Noble_6', 'Noble_1']","['I_22', 'I_7', 'I_16', 'I_2', 'I_36', 'I_28', 'I_25', 'I_33', 'I_39', 'I_17', 'I_30', 'I_34', 'I_14', 'I_24', 'I_5', 'I_29', 'I_21', 'I_19', 'I_3', 'I_1', 'I_40', 'I_20', 'I_38', 'I_9', 'I_11', 'I_4', 'I_15', 'I_31', 'I_12', 'I_26', 'I_10', 'I_37', 'I_13']","['II_27', 'II_17', 'II_23', 'II_14', 'II_29', 'II_22', 'II_19', 'II_2', 'II_28', 'II_8', 'II_10', 'II_6', 'II_16', 'II_24', 'II_4', 'II_7', 'II_11', 'II_5', 'II_25', 'II_21', 'II_1', 'II_30', 'II_26', 'II_3']","['III_20', 'III_13', 'III_15', 'III_1', 'III_5', 'III_16', 'III_6', 'III_7', 'III_11', 'III_9', 'III_2', 'III_18', 'III_17', 'III_14', 'III_10']","['Noble_7', 'Noble_9', 'Noble_4', 'Noble_10', 'Noble_2']",1,"{'red': 2, 'blue': 0, 'green': 3, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['I_35'],[],['III_12'],0,"{'red': 1, 'blue': 2, 'green': 0, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",['I_23'],[],['II_13'],2,"{'red': 2, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",['II_15'],[],[],0,"{'red': 2, 'blue': 1, 'green': 4, 'white': 2, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}",['I_32'],[],[]
"{'red': 0, 'blue': 1, 'green': 0, 'white': 2, 'black': 6, 'auto_color': 5}","['I_6', 'I_22', 'I_27', 'I_8']","['II_18', 'II_20', 'II_12', 'II_9']","['III_8', 'III_3', 'III_19', 'III_4']","['Noble_8', 'Noble_3', 'Noble_5', 'Noble_6', 'Noble_1']","['I_7', 'I_16', 'I_2', 'I_36', 'I_28', 'I_25', 'I_33', 'I_39', 'I_17', 'I_30', 'I_34', 'I_14', 'I_24', 'I_5', 'I_29', 'I_21', 'I_19', 'I_3', 'I_1', 'I_40', 'I_20', 'I_38', 'I_9', 'I_11', 'I_4', 'I_15', 'I_31', 'I_12', 'I_26', 'I_10', 'I_37', 'I_13']","['II_27', 'II_17', 'II_23', 'II_14', 'II_29', 'II_22', 'II_19', 'II_2', 'II_28', 'II_8', 'II_10', 'II_6', 'II_16', 'II_24', 'II_4', 'II_7', 'II_11', 'II_5', 'II_25', 'II_21', 'II_1', 'II_30', 'II_26', 'II_3']","['III_20', 'III_13', 'III_15', 'III_1', 'III_5', 'III_16', 'III_6', 'III_7', 'III_11', 'III_9', 'III_2', 'III_18', 'III_17', 'III_14', 'III_10']","['Noble_7', 'Noble_9', 'Noble_4', 'Noble_10', 'Noble_2']",1,"{'red': 2, 'blue': 1, 'green': 3, 'white': 2, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['I_35'],[],['III_12'],0,"{'red': 1, 'blue': 2, 'green': 0, 'white': 3, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",['I_23'],[],['II_13'],2,"{'red': 2, 'blue': 2, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",['II_15'],[],[],0,"{'red': 2, 'blue': 1, 'green': 4, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}","['I_32', 'I_18']",[],[]
"{'red': 1, 'blue': 1, 'green': 0, 'white': 2, 'black': 5, 'auto_color': 3}","['I_7', 'I_22', 'I_27', 'I_8']","['II_18', 'II_20', 'II_12', 'II_9']","['III_8', 'III_13', 'III_19', 'III_4']","['Noble_8', 'Noble_3', 'Noble_5', 'Noble_6', 'Noble_1']","['I_16', 'I_2', 'I_36', 'I_28', 'I_25', 'I_33', 'I_39', 'I_17', 'I_30', 'I_34', 'I_14', 'I_24', 'I_5', 'I_29', 'I_21', 'I_19', 'I_3', 'I_1', 'I_40', 'I_20', 'I_38', 'I_9', 'I_11', 'I_4', 'I_15', 'I_31', 'I_12', 'I_26', 'I_10', 'I_37', 'I_13']","['II_27', 'II_17', 'II_23', 'II_14', 'II_29', 'II_22', 'II_19', 'II_2', 'II_28', 'II_8', 'II_10', 'II_6', 'II_16', 'II_24', 'II_4', 'II_7', 'II_11', 'II_5', 'II_25', 'II_21', 'II_1', 'II_30', 'II_26', 'II_3']","['III_15', 'III_1', 'III_5', 'III_16', 'III_6', 'III_7', 'III_11', 'III_9', 'III_2', 'III_18', 'III_17', 'III_14', 'III_10']","['Noble_7', 'Noble_9', 'Noble_4', 'Noble_10', 'Noble_2']",1,"{'red': 1, 'blue': 0, 'green': 3, 'white': 1, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 1}","['I_35', 'I_6']",[],['III_12'],0,"{'red': 1, 'blue': 2, 'green': 0, 'white': 3, 'black': 0, 'auto_color': 1}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",['I_23'],[],"['II_13', 'III_20']",2,"{'red': 2, 'blue': 2, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",['II_15'],[],['III_3'],0,"{'red': 2, 'blue': 2, 'green': 4, 'white': 1, 'black': 1, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}","['I_32', 'I_18']",[],[]
"{'red': 0, 'blue': 0, 'green': 0, 'white': 2, 'black': 3, 'auto_color': 2}","['I_7', 'I_2', 'I_27', 'I_8']","['II_18', 'II_20', 'II_12', 'II_9']","['III_8', 'III_13', 'III_19', 'III_4']","['Noble_8', 'Noble_3', 'Noble_5', 'Noble_6', 'Noble_1']","['I_36', 'I_28', 'I_25', 'I_33', 'I_39', 'I_17', 'I_30', 'I_34', 'I_14', 'I_24', 'I_5', 'I_29', 'I_21', 'I_19', 'I_3', 'I_1', 'I_40', 'I_20', 'I_38', 'I_9', 'I_11', 'I_4', 'I_15', 'I_31', 'I_12', 'I_26', 'I_10', 'I_37', 'I_13']","['II_27', 'II_17', 'II_23', 'II_14', 'II_29', 'II_22', 'II_19', 'II_2', 'II_28', 'II_8', 'II_10', 'II_6', 'II_16', 'II_24', 'II_4', 'II_7', 'II_11', 'II_5', 'II_25', 'II_21', 'II_1', 'II_30', 'II_26', 'II_3']","['III_15', 'III_1', 'III_5', 'III_16', 'III_6', 'III_7', 'III_11', 'III_9', 'III_2', 'III_18', 'III_17', 'III_14', 'III_10']","['Noble_7', 'Noble_9', 'Noble_4', 'Noble_10', 'Noble_2']",1,"{'red': 2, 'blue': 0, 'green': 3, 'white': 2, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 1}","['I_35', 'I_6']",[],['III_12'],0,"{'red': 1, 'blue': 2, 'green': 0, 'white': 3, 'black': 0, 'auto_color': 2}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",['I_23'],[],"['II_13', 'III_20', 'I_16']",2,"{'red': 3, 'blue': 3, 'green': 0, 'white': 0, 'black': 1, 'auto_color': 1}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",['II_15'],[],['III_3'],0,"{'red': 1, 'blue': 2, 'green': 4, 'white': 0, 'black': 1, 'auto_color': 0}","{'red': 2, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}","['I_32', 'I_18', 'I_22']",[],[]
"{'red': 4, 'blue': 2, 'green': 2, 'white': 4, 'black': 5, 'auto_color': 3}","['I_7', 'I_36', 'I_27', 'I_8']","['II_17', 'II_20', 'II_27', 'II_9']","['III_8', 'III_13', 'III_19', 'III_4']","['Noble_8', 'Noble_3', 'Noble_5', 'Noble_6', 'Noble_1']","['I_28', 'I_25', 'I_33', 'I_39', 'I_17', 'I_30', 'I_34', 'I_14', 'I_24', 'I_5', 'I_29', 'I_21', 'I_19', 'I_3', 'I_1', 'I_40', 'I_20', 'I_38', 'I_9', 'I_11', 'I_4', 'I_15', 'I_31', 'I_12', 'I_26', 'I_10', 'I_37', 'I_13']","['II_23', 'II_14', 'II_29', 'II_22', 'II_19', 'II_2', 'II_28', 'II_8', 'II_10', 'II_6', 'II_16', 'II_24', 'II_4', 'II_7', 'II_11', 'II_5', 'II_25', 'II_21', 'II_1', 'II_30', 'II_26', 'II_3']","['III_15', 'III_1', 'III_5', 'III_16', 'III_6', 'III_7', 'III_11', 'III_9', 'III_2', 'III_18', 'III_17', 'III_14', 'III_10']","['Noble_7', 'Noble_9', 'Noble_4', 'Noble_10', 'Noble_2']",2,"{'red': 0, 'blue': 0, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 1, 'white': 0, 'black': 1}","['I_35', 'I_6', 'II_18']",[],['III_12'],1,"{'red': 0, 'blue': 2, 'green': 0, 'white': 3, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}","['I_23', 'I_16']",[],"['II_13', 'III_20']",2,"{'red': 3, 'blue': 3, 'green': 0, 'white': 0, 'black': 1, 'auto_color': 2}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",['II_15'],[],"['III_3', 'I_2']",1,"{'red': 0, 'blue': 0, 'green': 2, 'white': 0, 'black': 1, 'auto_color': 0}","{'red': 2, 'blue': 1, 'green': 0, 'white': 1, 'black': 0}","['I_32', 'I_18', 'I_22', 'II_12']",[],[]
