Board Stocks,Board I,Board II,Board III,Board Noble,BoardUpsiteDownI,BoardUpsiteDownII,BoardUpsiteDownIII,BoardUpsiteDownNoble,KING Score,KING Stocks,KING Stocks Const,KING Open,KING Noble,KING Upsite Down,QueenOfGame Score,QueenOfGame Stocks,QueenOfGame Stocks Const,QueenOfGame Open,QueenOfGame Noble,QueenOfGame Upsite Down,TheGod Score,TheGod Stocks,TheGod Stocks Const,TheGod Open,TheGod Noble,TheGod Upsite Down,KingOfDestruction Score,KingOfDestruction Stocks,KingOfDestruction Stocks Const,KingOfDestruction Open,KingOfDestruction Noble,KingOfDestruction Upsite Down
"{'red': 7, 'blue': 7, 'green': 7, 'white': 7, 'black': 7, 'auto_color': 5}","['I_19', 'I_39', 'I_7', 'I_35']","['II_29', 'II_30', 'II_8', 'II_28']","['III_15', 'III_20', 'III_6', 'III_1']","['Noble_9', 'Noble_2', 'Noble_8', 'Noble_10', 'Noble_1']","['I_26', 'I_22', 'I_5', 'I_32', 'I_24', 'I_2', 'I_15', 'I_14', 'I_16', 'I_34', 'I_38', 'I_9', 'I_33', 'I_30', 'I_13', 'I_4', 'I_25', 'I_31', 'I_29', 'I_21', 'I_1', 'I_12', 'I_37', 'I_6', 'I_8', 'I_18', 'I_17', 'I_11', 'I_3', 'I_10', 'I_40', 'I_23', 'I_27', 'I_36', 'I_20', 'I_28']","['II_21', 'II_27', 'II_26', 'II_10', 'II_12', 'II_16', 'II_4', 'II_17', 'II_5', 'II_19', 'II_1', 'II_14', 'II_20', 'II_18', 'II_6', 'II_22', 'II_9', 'II_2', 'II_11', 'II_15', 'II_23', 'II_3', 'II_13', 'II_24', 'II_7', 'II_25']","['III_10', 'III_8', 'III_2', 'III_17', 'III_4', 'III_5', 'III_11', 'III_12', 'III_18', 'III_7', 'III_16', 'III_9', 'III_19', 'III_14', 'III_13', 'III_3']","['Noble_3', 'Noble_5', 'Noble_4', 'Noble_7', 'Noble_6']",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 3, 'blue': 5, 'green': 5, 'white': 7, 'black': 7, 'auto_color': 4}","['I_19', 'I_39', 'I_7', 'I_35']","['II_29', 'II_21', 'II_8', 'II_28']","['III_15', 'III_20', 'III_6', 'III_1']","['Noble_9', 'Noble_2', 'Noble_8', 'Noble_10', 'Noble_1']","['I_26', 'I_22', 'I_5', 'I_32', 'I_24', 'I_2', 'I_15', 'I_14', 'I_16', 'I_34', 'I_38', 'I_9', 'I_33', 'I_30', 'I_13', 'I_4', 'I_25', 'I_31', 'I_29', 'I_21', 'I_1', 'I_12', 'I_37', 'I_6', 'I_8', 'I_18', 'I_17', 'I_11', 'I_3', 'I_10', 'I_40', 'I_23', 'I_27', 'I_36', 'I_20', 'I_28']","['II_27', 'II_26', 'II_10', 'II_12', 'II_16', 'II_4', 'II_17', 'II_5', 'II_19', 'II_1', 'II_14', 'II_20', 'II_18', 'II_6', 'II_22', 'II_9', 'II_2', 'II_11', 'II_15', 'II_23', 'II_3', 'II_13', 'II_24', 'II_7', 'II_25']","['III_10', 'III_8', 'III_2', 'III_17', 'III_4', 'III_5', 'III_11', 'III_12', 'III_18', 'III_7', 'III_16', 'III_9', 'III_19', 'III_14', 'III_13', 'III_3']","['Noble_3', 'Noble_5', 'Noble_4', 'Noble_7', 'Noble_6']",0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['II_30'],0,"{'red': 2, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 1, 'blue': 3, 'green': 3, 'white': 7, 'black': 7, 'auto_color': 2}","['I_19', 'I_39', 'I_7', 'I_35']","['II_29', 'II_21', 'II_8', 'II_28']","['III_8', 'III_10', 'III_6', 'III_1']","['Noble_9', 'Noble_2', 'Noble_8', 'Noble_10', 'Noble_1']","['I_26', 'I_22', 'I_5', 'I_32', 'I_24', 'I_2', 'I_15', 'I_14', 'I_16', 'I_34', 'I_38', 'I_9', 'I_33', 'I_30', 'I_13', 'I_4', 'I_25', 'I_31', 'I_29', 'I_21', 'I_1', 'I_12', 'I_37', 'I_6', 'I_8', 'I_18', 'I_17', 'I_11', 'I_3', 'I_10', 'I_40', 'I_23', 'I_27', 'I_36', 'I_20', 'I_28']","['II_27', 'II_26', 'II_10', 'II_12', 'II_16', 'II_4', 'II_17', 'II_5', 'II_19', 'II_1', 'II_14', 'II_20', 'II_18', 'II_6', 'II_22', 'II_9', 'II_2', 'II_11', 'II_15', 'II_23', 'II_3', 'II_13', 'II_24', 'II_7', 'II_25']","['III_2', 'III_17', 'III_4', 'III_5', 'III_11', 'III_12', 'III_18', 'III_7', 'III_16', 'III_9', 'III_19', 'III_14', 'III_13', 'III_3']","['Noble_3', 'Noble_5', 'Noble_4', 'Noble_7', 'Noble_6']",0,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"['II_30', 'III_15']",0,"{'red': 2, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['III_20'],0,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 0, 'blue': 0, 'green': 0, 'white': 5, 'black': 7, 'auto_color': 1}","['I_19', 'I_39', 'I_26', 'I_35']","['II_29', 'II_21', 'II_8', 'II_28']","['III_8', 'III_10', 'III_6', 'III_1']","['Noble_9', 'Noble_2', 'Noble_8', 'Noble_10', 'Noble_1']","['I_22', 'I_5', 'I_32', 'I_24', 'I_2', 'I_15', 'I_14', 'I_16', 'I_34', 'I_38', 'I_9', 'I_33', 'I_30', 'I_13', 'I_4', 'I_25', 'I_31', 'I_29', 'I_21', 'I_1', 'I_12', 'I_37', 'I_6', 'I_8', 'I_18', 'I_17', 'I_11', 'I_3', 'I_10', 'I_40', 'I_23', 'I_27', 'I_36', 'I_20', 'I_28']","['II_27', 'II_26', 'II_10', 'II_12', 'II_16', 'II_4', 'II_17', 'II_5', 'II_19', 'II_1', 'II_14', 'II_20', 'II_18', 'II_6', 'II_22', 'II_9', 'II_2', 'II_11', 'II_15', 'II_23', 'II_3', 'II_13', 'II_24', 'II_7', 'II_25']","['III_2', 'III_17', 'III_4', 'III_5', 'III_11', 'III_12', 'III_18', 'III_7', 'III_16', 'III_9', 'III_19', 'III_14', 'III_13', 'III_3']","['Noble_3', 'Noble_5', 'Noble_4', 'Noble_7', 'Noble_6']",0,"{'red': 2, 'blue': 3, 'green': 3, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 3}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"['II_30', 'III_15', 'I_7']",0,"{'red': 3, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['III_20'],0,"{'red': 2, 'blue': 3, 'green': 3, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 0, 'blue': 0, 'green': 0, 'white': 5, 'black': 5, 'auto_color': 0}","['I_22', 'I_39', 'I_26', 'I_35']","['II_29', 'II_21', 'II_8', 'II_28']","['III_8', 'III_2', 'III_6', 'III_17']","['Noble_9', 'Noble_2', 'Noble_8', 'Noble_10', 'Noble_1']","['I_5', 'I_32', 'I_24', 'I_2', 'I_15', 'I_14', 'I_16', 'I_34', 'I_38', 'I_9', 'I_33', 'I_30', 'I_13', 'I_4', 'I_25', 'I_31', 'I_29', 'I_21', 'I_1', 'I_12', 'I_37', 'I_6', 'I_8', 'I_18', 'I_17', 'I_11', 'I_3', 'I_10', 'I_40', 'I_23', 'I_27', 'I_36', 'I_20', 'I_28']","['II_27', 'II_26', 'II_10', 'II_12', 'II_16', 'II_4', 'II_17', 'II_5', 'II_19', 'II_1', 'II_14', 'II_20', 'II_18', 'II_6', 'II_22', 'II_9', 'II_2', 'II_11', 'II_15', 'II_23', 'II_3', 'II_13', 'II_24', 'II_7', 'II_25']","['III_4', 'III_5', 'III_11', 'III_12', 'III_18', 'III_7', 'III_16', 'III_9', 'III_19', 'III_14', 'III_13', 'III_3']","['Noble_3', 'Noble_5', 'Noble_4', 'Noble_7', 'Noble_6']",0,"{'red': 2, 'blue': 3, 'green': 3, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['III_10'],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 2, 'auto_color': 3}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"['II_30', 'III_15', 'I_7']",0,"{'red': 3, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"['III_20', 'I_19']",0,"{'red': 2, 'blue': 3, 'green': 3, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['III_1']
"{'red': 3, 'blue': 0, 'green': 0, 'white': 5, 'black': 7, 'auto_color': 2}","['I_22', 'I_39', 'I_26', 'I_35']","['II_29', 'II_26', 'II_8', 'II_28']","['III_8', 'III_4', 'III_6', 'III_17']","['Noble_9', 'Noble_2', 'Noble_8', 'Noble_10', 'Noble_1']","['I_5', 'I_32', 'I_24', 'I_2', 'I_15', 'I_14', 'I_16', 'I_34', 'I_38', 'I_9', 'I_33', 'I_30', 'I_13', 'I_4', 'I_25', 'I_31', 'I_29', 'I_21', 'I_1', 'I_12', 'I_37', 'I_6', 'I_8', 'I_18', 'I_17', 'I_11', 'I_3', 'I_10', 'I_40', 'I_23', 'I_27', 'I_36', 'I_20', 'I_28']","['II_10', 'II_12', 'II_16', 'II_4', 'II_17', 'II_5', 'II_19', 'II_1', 'II_14', 'II_20', 'II_18', 'II_6', 'II_22', 'II_9', 'II_2', 'II_11', 'II_15', 'II_23', 'II_3', 'II_13', 'II_24', 'II_7', 'II_25']","['III_5', 'III_11', 'III_12', 'III_18', 'III_7', 'III_16', 'III_9', 'III_19', 'III_14', 'III_13', 'III_3']","['Noble_3', 'Noble_5', 'Noble_4', 'Noble_7', 'Noble_6']",0,"{'red': 2, 'blue': 3, 'green': 3, 'white': 1, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"['III_10', 'II_27']",1,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 0}",['I_7'],[],"['II_30', 'III_15']",2,"{'red': 0, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}",['II_21'],[],"['III_20', 'I_19']",0,"{'red': 2, 'blue': 3, 'green': 3, 'white': 1, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"['III_1', 'III_2']"
"{'red': 7, 'blue': 1, 'green': 3, 'white': 4, 'black': 7, 'auto_color': 3}","['I_5', 'I_39', 'I_26', 'I_32']","['II_29', 'II_26', 'II_8', 'II_28']","['III_8', 'III_4', 'III_6', 'III_17']","['Noble_9', 'Noble_2', 'Noble_8', 'Noble_10', 'Noble_1']","['I_24', 'I_2', 'I_15', 'I_14', 'I_16', 'I_34', 'I_38', 'I_9', 'I_33', 'I_30', 'I_13', 'I_4', 'I_25', 'I_31', 'I_29', 'I_21', 'I_1', 'I_12', 'I_37', 'I_6', 'I_8', 'I_18', 'I_17', 'I_11', 'I_3', 'I_10', 'I_40', 'I_23', 'I_27', 'I_36', 'I_20', 'I_28']","['II_10', 'II_12', 'II_16', 'II_4', 'II_17', 'II_5', 'II_19', 'II_1', 'II_14', 'II_20', 'II_18', 'II_6', 'II_22', 'II_9', 'II_2', 'II_11', 'II_15', 'II_23', 'II_3', 'II_13', 'II_24', 'II_7', 'II_25']","['III_5', 'III_11', 'III_12', 'III_18', 'III_7', 'III_16', 'III_9', 'III_19', 'III_14', 'III_13', 'III_3']","['Noble_3', 'Noble_5', 'Noble_4', 'Noble_7', 'Noble_6']",2,"{'red': 0, 'blue': 2, 'green': 0, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['II_27'],[],['III_10'],1,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 0}",['I_7'],[],"['II_30', 'III_15', 'I_35']",2,"{'red': 0, 'blue': 1, 'green': 1, 'white': 2, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}",['II_21'],[],"['III_20', 'I_19']",0,"{'red': 0, 'blue': 3, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",['I_22'],[],"['III_1', 'III_2']"
"{'red': 6, 'blue': 4, 'green': 2, 'white': 1, 'black': 5, 'auto_color': 3}","['I_5', 'I_39', 'I_26', 'I_24']","['II_29', 'II_26', 'II_8', 'II_28']","['III_8', 'III_4', 'III_6', 'III_17']","['Noble_9', 'Noble_2', 'Noble_8', 'Noble_10', 'Noble_1']","['I_2', 'I_15', 'I_14', 'I_16', 'I_34', 'I_38', 'I_9', 'I_33', 'I_30', 'I_13', 'I_4', 'I_25', 'I_31', 'I_29', 'I_21', 'I_1', 'I_12', 'I_37', 'I_6', 'I_8', 'I_18', 'I_17', 'I_11', 'I_3', 'I_10', 'I_40', 'I_23', 'I_27', 'I_36', 'I_20', 'I_28']","['II_10', 'II_12', 'II_16', 'II_4', 'II_17', 'II_5', 'II_19', 'II_1', 'II_14', 'II_20', 'II_18', 'II_6', 'II_22', 'II_9', 'II_2', 'II_11', 'II_15', 'II_23', 'II_3', 'II_13', 'II_24', 'II_7', 'II_25']","['III_5', 'III_11', 'III_12', 'III_18', 'III_7', 'III_16', 'III_9', 'III_19', 'III_14', 'III_13', 'III_3']","['Noble_3', 'Noble_5', 'Noble_4', 'Noble_7', 'Noble_6']",2,"{'red': 1, 'blue': 2, 'green': 1, 'white': 2, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['II_27'],[],['III_10'],1,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 2, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 0}",['I_7'],[],"['II_30', 'III_15', 'I_35']",2,"{'red': 0, 'blue': 1, 'green': 1, 'white': 4, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}",['II_21'],[],"['III_20', 'I_19']",0,"{'red': 0, 'blue': 0, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}","['I_22', 'I_32']",[],"['III_1', 'III_2']"
"{'red': 6, 'blue': 5, 'green': 3, 'white': 4, 'black': 2, 'auto_color': 3}","['I_5', 'I_39', 'I_26', 'I_2']","['II_10', 'II_26', 'II_8', 'II_28']","['III_8', 'III_4', 'III_6', 'III_17']","['Noble_9', 'Noble_2', 'Noble_8', 'Noble_10', 'Noble_1']","['I_15', 'I_14', 'I_16', 'I_34', 'I_38', 'I_9', 'I_33', 'I_30', 'I_13', 'I_4', 'I_25', 'I_31', 'I_29', 'I_21', 'I_1', 'I_12', 'I_37', 'I_6', 'I_8', 'I_18', 'I_17', 'I_11', 'I_3', 'I_10', 'I_40', 'I_23', 'I_27', 'I_36', 'I_20', 'I_28']","['II_12', 'II_16', 'II_4', 'II_17', 'II_5', 'II_19', 'II_1', 'II_14', 'II_20', 'II_18', 'II_6', 'II_22', 'II_9', 'II_2', 'II_11', 'II_15', 'II_23', 'II_3', 'II_13', 'II_24', 'II_7', 'II_25']","['III_5', 'III_11', 'III_12', 'III_18', 'III_7', 'III_16', 'III_9', 'III_19', 'III_14', 'III_13', 'III_3']","['Noble_3', 'Noble_5', 'Noble_4', 'Noble_7', 'Noble_6']",2,"{'red': 1, 'blue': 0, 'green': 0, 'white': 2, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}","['II_27', 'I_24']",[],['III_10'],1,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 4, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 0}",['I_7'],[],"['II_30', 'III_15', 'I_35']",4,"{'red': 0, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 1}","['II_21', 'II_29']",[],"['III_20', 'I_19']",0,"{'red': 0, 'blue': 1, 'green': 3, 'white': 1, 'black': 1, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}","['I_22', 'I_32']",[],"['III_1', 'III_2']"
"{'red': 6, 'blue': 5, 'green': 4, 'white': 2, 'black': 6, 'auto_color': 5}","['I_5', 'I_39', 'I_15', 'I_2']","['II_10', 'II_26', 'II_8', 'II_28']","['III_8', 'III_4', 'III_6', 'III_17']","['Noble_9', 'Noble_2', 'Noble_8', 'Noble_10', 'Noble_1']","['I_14', 'I_16', 'I_34', 'I_38', 'I_9', 'I_33', 'I_30', 'I_13', 'I_4', 'I_25', 'I_31', 'I_29', 'I_21', 'I_1', 'I_12', 'I_37', 'I_6', 'I_8', 'I_18', 'I_17', 'I_11', 'I_3', 'I_10', 'I_40', 'I_23', 'I_27', 'I_36', 'I_20', 'I_28']","['II_12', 'II_16', 'II_4', 'II_17', 'II_5', 'II_19', 'II_1', 'II_14', 'II_20', 'II_18', 'II_6', 'II_22', 'II_9', 'II_2', 'II_11', 'II_15', 'II_23', 'II_3', 'II_13', 'II_24', 'II_7', 'II_25']","['III_5', 'III_11', 'III_12', 'III_18', 'III_7', 'III_16', 'III_9', 'III_19', 'III_14', 'III_13', 'III_3']","['Noble_3', 'Noble_5', 'Noble_4', 'Noble_7', 'Noble_6']",2,"{'red': 1, 'blue': 1, 'green': 1, 'white': 2, 'black': 1, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}","['II_27', 'I_24']",[],['III_10'],4,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 1}","['I_7', 'II_30']",[],"['III_15', 'I_35']",4,"{'red': 0, 'blue': 1, 'green': 1, 'white': 2, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 1}","['II_21', 'II_29']",[],"['III_20', 'I_19']",0,"{'red': 0, 'blue': 0, 'green': 1, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 2, 'black': 0}","['I_22', 'I_32', 'I_26']",[],"['III_1', 'III_2']"
