Board Stocks,Board I,Board II,Board III,Board Noble,BoardUpsiteDownI,BoardUpsiteDownII,BoardUpsiteDownIII,BoardUpsiteDownNoble,NA Score,NA Stocks,NA Stocks Const,NA Open,NA Noble,NA Upsite Down,Trang Score,Trang Stocks,Trang Stocks Const,Trang Open,Trang Noble,Trang Upsite Down,Thao Score,Thao Stocks,Thao Stocks Const,Thao Open,Thao Noble,Thao Upsite Down,Hieu Score,Hieu Stocks,Hieu Stocks Const,Hieu Open,Hieu Noble,Hieu Upsite Down
"{'red': 7, 'blue': 7, 'green': 7, 'white': 7, 'black': 7, 'auto_color': 5}","['I_19', 'I_12', 'I_24', 'I_20']","['II_13', 'II_23', 'II_21', 'II_22']","['III_7', 'III_17', 'III_4', 'III_12']","['Noble_5', 'Noble_3', 'Noble_1', 'Noble_9', 'Noble_6']","['I_22', 'I_7', 'I_16', 'I_15', 'I_17', 'I_30', 'I_5', 'I_37', 'I_21', 'I_11', 'I_29', 'I_38', 'I_6', 'I_26', 'I_18', 'I_33', 'I_14', 'I_40', 'I_1', 'I_27', 'I_10', 'I_25', 'I_9', 'I_35', 'I_34', 'I_3', 'I_23', 'I_39', 'I_31', 'I_32', 'I_2', 'I_4', 'I_13', 'I_28', 'I_8', 'I_36']","['II_8', 'II_4', 'II_15', 'II_20', 'II_5', 'II_9', 'II_17', 'II_11', 'II_10', 'II_27', 'II_1', 'II_6', 'II_12', 'II_18', 'II_26', 'II_16', 'II_28', 'II_14', 'II_24', 'II_7', 'II_30', 'II_29', 'II_25', 'II_19', 'II_2', 'II_3']","['III_20', 'III_15', 'III_1', 'III_6', 'III_8', 'III_18', 'III_10', 'III_9', 'III_13', 'III_19', 'III_11', 'III_16', 'III_5', 'III_2', 'III_14', 'III_3']","['Noble_4', 'Noble_2', 'Noble_8', 'Noble_7', 'Noble_10']",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 4, 'blue': 6, 'green': 5, 'white': 6, 'black': 6, 'auto_color': 4}","['I_19', 'I_12', 'I_24', 'I_20']","['II_8', 'II_23', 'II_21', 'II_22']","['III_7', 'III_17', 'III_4', 'III_12']","['Noble_5', 'Noble_3', 'Noble_1', 'Noble_9', 'Noble_6']","['I_22', 'I_7', 'I_16', 'I_15', 'I_17', 'I_30', 'I_5', 'I_37', 'I_21', 'I_11', 'I_29', 'I_38', 'I_6', 'I_26', 'I_18', 'I_33', 'I_14', 'I_40', 'I_1', 'I_27', 'I_10', 'I_25', 'I_9', 'I_35', 'I_34', 'I_3', 'I_23', 'I_39', 'I_31', 'I_32', 'I_2', 'I_4', 'I_13', 'I_28', 'I_8', 'I_36']","['II_4', 'II_15', 'II_20', 'II_5', 'II_9', 'II_17', 'II_11', 'II_10', 'II_27', 'II_1', 'II_6', 'II_12', 'II_18', 'II_26', 'II_16', 'II_28', 'II_14', 'II_24', 'II_7', 'II_30', 'II_29', 'II_25', 'II_19', 'II_2', 'II_3']","['III_20', 'III_15', 'III_1', 'III_6', 'III_8', 'III_18', 'III_10', 'III_9', 'III_13', 'III_19', 'III_11', 'III_16', 'III_5', 'III_2', 'III_14', 'III_3']","['Noble_4', 'Noble_2', 'Noble_8', 'Noble_7', 'Noble_10']",0,"{'red': 0, 'blue': 0, 'green': 1, 'white': 1, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['II_13'],0,"{'red': 2, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 1, 'blue': 2, 'green': 3, 'white': 5, 'black': 5, 'auto_color': 4}","['I_19', 'I_12', 'I_24', 'I_20']","['II_8', 'II_23', 'II_21', 'II_22']","['III_7', 'III_17', 'III_4', 'III_12']","['Noble_5', 'Noble_3', 'Noble_1', 'Noble_9', 'Noble_6']","['I_22', 'I_7', 'I_16', 'I_15', 'I_17', 'I_30', 'I_5', 'I_37', 'I_21', 'I_11', 'I_29', 'I_38', 'I_6', 'I_26', 'I_18', 'I_33', 'I_14', 'I_40', 'I_1', 'I_27', 'I_10', 'I_25', 'I_9', 'I_35', 'I_34', 'I_3', 'I_23', 'I_39', 'I_31', 'I_32', 'I_2', 'I_4', 'I_13', 'I_28', 'I_8', 'I_36']","['II_4', 'II_15', 'II_20', 'II_5', 'II_9', 'II_17', 'II_11', 'II_10', 'II_27', 'II_1', 'II_6', 'II_12', 'II_18', 'II_26', 'II_16', 'II_28', 'II_14', 'II_24', 'II_7', 'II_30', 'II_29', 'II_25', 'II_19', 'II_2', 'II_3']","['III_20', 'III_15', 'III_1', 'III_6', 'III_8', 'III_18', 'III_10', 'III_9', 'III_13', 'III_19', 'III_11', 'III_16', 'III_5', 'III_2', 'III_14', 'III_3']","['Noble_4', 'Noble_2', 'Noble_8', 'Noble_7', 'Noble_10']",0,"{'red': 1, 'blue': 0, 'green': 1, 'white': 2, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['II_13'],0,"{'red': 2, 'blue': 2, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 0, 'blue': 2, 'green': 2, 'white': 2, 'black': 5, 'auto_color': 4}","['I_19', 'I_12', 'I_22', 'I_20']","['II_8', 'II_23', 'II_21', 'II_22']","['III_7', 'III_17', 'III_4', 'III_12']","['Noble_5', 'Noble_3', 'Noble_1', 'Noble_9', 'Noble_6']","['I_7', 'I_16', 'I_15', 'I_17', 'I_30', 'I_5', 'I_37', 'I_21', 'I_11', 'I_29', 'I_38', 'I_6', 'I_26', 'I_18', 'I_33', 'I_14', 'I_40', 'I_1', 'I_27', 'I_10', 'I_25', 'I_9', 'I_35', 'I_34', 'I_3', 'I_23', 'I_39', 'I_31', 'I_32', 'I_2', 'I_4', 'I_13', 'I_28', 'I_8', 'I_36']","['II_4', 'II_15', 'II_20', 'II_5', 'II_9', 'II_17', 'II_11', 'II_10', 'II_27', 'II_1', 'II_6', 'II_12', 'II_18', 'II_26', 'II_16', 'II_28', 'II_14', 'II_24', 'II_7', 'II_30', 'II_29', 'II_25', 'II_19', 'II_2', 'II_3']","['III_20', 'III_15', 'III_1', 'III_6', 'III_8', 'III_18', 'III_10', 'III_9', 'III_13', 'III_19', 'III_11', 'III_16', 'III_5', 'III_2', 'III_14', 'III_3']","['Noble_4', 'Noble_2', 'Noble_8', 'Noble_7', 'Noble_10']",0,"{'red': 1, 'blue': 1, 'green': 2, 'white': 3, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['II_13'],0,"{'red': 2, 'blue': 2, 'green': 0, 'white': 2, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 2, 'blue': 0, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",['I_24'],[],[]
"{'red': 1, 'blue': 1, 'green': 1, 'white': 5, 'black': 6, 'auto_color': 4}","['I_7', 'I_12', 'I_16', 'I_20']","['II_8', 'II_23', 'II_21', 'II_22']","['III_7', 'III_17', 'III_4', 'III_12']","['Noble_5', 'Noble_3', 'Noble_1', 'Noble_9', 'Noble_6']","['I_15', 'I_17', 'I_30', 'I_5', 'I_37', 'I_21', 'I_11', 'I_29', 'I_38', 'I_6', 'I_26', 'I_18', 'I_33', 'I_14', 'I_40', 'I_1', 'I_27', 'I_10', 'I_25', 'I_9', 'I_35', 'I_34', 'I_3', 'I_23', 'I_39', 'I_31', 'I_32', 'I_2', 'I_4', 'I_13', 'I_28', 'I_8', 'I_36']","['II_4', 'II_15', 'II_20', 'II_5', 'II_9', 'II_17', 'II_11', 'II_10', 'II_27', 'II_1', 'II_6', 'II_12', 'II_18', 'II_26', 'II_16', 'II_28', 'II_14', 'II_24', 'II_7', 'II_30', 'II_29', 'II_25', 'II_19', 'II_2', 'II_3']","['III_20', 'III_15', 'III_1', 'III_6', 'III_8', 'III_18', 'III_10', 'III_9', 'III_13', 'III_19', 'III_11', 'III_16', 'III_5', 'III_2', 'III_14', 'III_3']","['Noble_4', 'Noble_2', 'Noble_8', 'Noble_7', 'Noble_10']",0,"{'red': 1, 'blue': 0, 'green': 1, 'white': 1, 'black': 1, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",['I_19'],[],[],0,"{'red': 3, 'blue': 3, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['II_13'],0,"{'red': 0, 'blue': 2, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",['I_22'],[],[],0,"{'red': 2, 'blue': 1, 'green': 2, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",['I_24'],[],[]
"{'red': 3, 'blue': 0, 'green': 0, 'white': 3, 'black': 3, 'auto_color': 5}","['I_7', 'I_12', 'I_15', 'I_20']","['II_8', 'II_23', 'II_21', 'II_22']","['III_7', 'III_17', 'III_4', 'III_12']","['Noble_5', 'Noble_3', 'Noble_1', 'Noble_9', 'Noble_6']","['I_17', 'I_30', 'I_5', 'I_37', 'I_21', 'I_11', 'I_29', 'I_38', 'I_6', 'I_26', 'I_18', 'I_33', 'I_14', 'I_40', 'I_1', 'I_27', 'I_10', 'I_25', 'I_9', 'I_35', 'I_34', 'I_3', 'I_23', 'I_39', 'I_31', 'I_32', 'I_2', 'I_4', 'I_13', 'I_28', 'I_8', 'I_36']","['II_4', 'II_15', 'II_20', 'II_5', 'II_9', 'II_17', 'II_11', 'II_10', 'II_27', 'II_1', 'II_6', 'II_12', 'II_18', 'II_26', 'II_16', 'II_28', 'II_14', 'II_24', 'II_7', 'II_30', 'II_29', 'II_25', 'II_19', 'II_2', 'II_3']","['III_20', 'III_15', 'III_1', 'III_6', 'III_8', 'III_18', 'III_10', 'III_9', 'III_13', 'III_19', 'III_11', 'III_16', 'III_5', 'III_2', 'III_14', 'III_3']","['Noble_4', 'Noble_2', 'Noble_8', 'Noble_7', 'Noble_10']",0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 2, 'black': 2, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",['I_19'],[],[],1,"{'red': 0, 'blue': 3, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}",['I_16'],[],['II_13'],0,"{'red': 0, 'blue': 2, 'green': 0, 'white': 0, 'black': 2, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",['I_22'],[],[],0,"{'red': 3, 'blue': 1, 'green': 3, 'white': 2, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",['I_24'],[],[]
"{'red': 1, 'blue': 0, 'green': 0, 'white': 1, 'black': 1, 'auto_color': 4}","['I_17', 'I_12', 'I_15', 'I_20']","['II_8', 'II_23', 'II_21', 'II_22']","['III_7', 'III_17', 'III_4', 'III_12']","['Noble_5', 'Noble_3', 'Noble_1', 'Noble_9', 'Noble_6']","['I_30', 'I_5', 'I_37', 'I_21', 'I_11', 'I_29', 'I_38', 'I_6', 'I_26', 'I_18', 'I_33', 'I_14', 'I_40', 'I_1', 'I_27', 'I_10', 'I_25', 'I_9', 'I_35', 'I_34', 'I_3', 'I_23', 'I_39', 'I_31', 'I_32', 'I_2', 'I_4', 'I_13', 'I_28', 'I_8', 'I_36']","['II_4', 'II_15', 'II_20', 'II_5', 'II_9', 'II_17', 'II_11', 'II_10', 'II_27', 'II_1', 'II_6', 'II_12', 'II_18', 'II_26', 'II_16', 'II_28', 'II_14', 'II_24', 'II_7', 'II_30', 'II_29', 'II_25', 'II_19', 'II_2', 'II_3']","['III_20', 'III_15', 'III_1', 'III_6', 'III_8', 'III_18', 'III_10', 'III_9', 'III_13', 'III_19', 'III_11', 'III_16', 'III_5', 'III_2', 'III_14', 'III_3']","['Noble_4', 'Noble_2', 'Noble_8', 'Noble_7', 'Noble_10']",0,"{'red': 2, 'blue': 1, 'green': 1, 'white': 3, 'black': 3, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",['I_19'],[],[],1,"{'red': 0, 'blue': 3, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}",['I_16'],[],['II_13'],0,"{'red': 1, 'blue': 2, 'green': 0, 'white': 1, 'black': 3, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",['I_22'],[],[],0,"{'red': 3, 'blue': 1, 'green': 3, 'white': 2, 'black': 0, 'auto_color': 1}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",['I_24'],[],['I_7']
"{'red': 6, 'blue': 0, 'green': 1, 'white': 2, 'black': 3, 'auto_color': 5}","['I_17', 'I_5', 'I_15', 'I_20']","['II_8', 'II_23', 'II_4', 'II_22']","['III_7', 'III_17', 'III_4', 'III_12']","['Noble_5', 'Noble_3', 'Noble_1', 'Noble_9', 'Noble_6']","['I_37', 'I_21', 'I_11', 'I_29', 'I_38', 'I_6', 'I_26', 'I_18', 'I_33', 'I_14', 'I_40', 'I_1', 'I_27', 'I_10', 'I_25', 'I_9', 'I_35', 'I_34', 'I_3', 'I_23', 'I_39', 'I_31', 'I_32', 'I_2', 'I_4', 'I_13', 'I_28', 'I_8', 'I_36']","['II_15', 'II_20', 'II_5', 'II_9', 'II_17', 'II_11', 'II_10', 'II_27', 'II_1', 'II_6', 'II_12', 'II_18', 'II_26', 'II_16', 'II_28', 'II_14', 'II_24', 'II_7', 'II_30', 'II_29', 'II_25', 'II_19', 'II_2', 'II_3']","['III_20', 'III_15', 'III_1', 'III_6', 'III_8', 'III_18', 'III_10', 'III_9', 'III_13', 'III_19', 'III_11', 'III_16', 'III_5', 'III_2', 'III_14', 'III_3']","['Noble_4', 'Noble_2', 'Noble_8', 'Noble_7', 'Noble_10']",0,"{'red': 1, 'blue': 1, 'green': 0, 'white': 2, 'black': 2, 'auto_color': 0}","{'red': 1, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}","['I_19', 'I_12']",[],[],1,"{'red': 0, 'blue': 3, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}",['I_16'],[],['II_13'],0,"{'red': 0, 'blue': 2, 'green': 0, 'white': 1, 'black': 2, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}","['I_22', 'I_30']",[],[],2,"{'red': 0, 'blue': 1, 'green': 3, 'white': 2, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}","['I_24', 'II_21']",[],['I_7']
"{'red': 3, 'blue': 0, 'green': 0, 'white': 0, 'black': 1, 'auto_color': 5}","['I_17', 'I_5', 'I_15', 'I_20']","['II_8', 'II_23', 'II_4', 'II_22']","['III_7', 'III_17', 'III_4', 'III_12']","['Noble_5', 'Noble_3', 'Noble_1', 'Noble_9', 'Noble_6']","['I_37', 'I_21', 'I_11', 'I_29', 'I_38', 'I_6', 'I_26', 'I_18', 'I_33', 'I_14', 'I_40', 'I_1', 'I_27', 'I_10', 'I_25', 'I_9', 'I_35', 'I_34', 'I_3', 'I_23', 'I_39', 'I_31', 'I_32', 'I_2', 'I_4', 'I_13', 'I_28', 'I_8', 'I_36']","['II_15', 'II_20', 'II_5', 'II_9', 'II_17', 'II_11', 'II_10', 'II_27', 'II_1', 'II_6', 'II_12', 'II_18', 'II_26', 'II_16', 'II_28', 'II_14', 'II_24', 'II_7', 'II_30', 'II_29', 'II_25', 'II_19', 'II_2', 'II_3']","['III_20', 'III_15', 'III_1', 'III_6', 'III_8', 'III_18', 'III_10', 'III_9', 'III_13', 'III_19', 'III_11', 'III_16', 'III_5', 'III_2', 'III_14', 'III_3']","['Noble_4', 'Noble_2', 'Noble_8', 'Noble_7', 'Noble_10']",0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 3, 'black': 3, 'auto_color': 0}","{'red': 1, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}","['I_19', 'I_12']",[],[],1,"{'red': 0, 'blue': 3, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}",['I_16'],[],['II_13'],0,"{'red': 2, 'blue': 2, 'green': 0, 'white': 1, 'black': 2, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}","['I_22', 'I_30']",[],[],2,"{'red': 1, 'blue': 1, 'green': 3, 'white': 3, 'black': 1, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}","['I_24', 'II_21']",[],['I_7']
"{'red': 3, 'blue': 0, 'green': 0, 'white': 3, 'black': 2, 'auto_color': 5}","['I_21', 'I_5', 'I_37', 'I_20']","['II_8', 'II_23', 'II_4', 'II_22']","['III_7', 'III_17', 'III_4', 'III_12']","['Noble_5', 'Noble_3', 'Noble_1', 'Noble_9', 'Noble_6']","['I_11', 'I_29', 'I_38', 'I_6', 'I_26', 'I_18', 'I_33', 'I_14', 'I_40', 'I_1', 'I_27', 'I_10', 'I_25', 'I_9', 'I_35', 'I_34', 'I_3', 'I_23', 'I_39', 'I_31', 'I_32', 'I_2', 'I_4', 'I_13', 'I_28', 'I_8', 'I_36']","['II_15', 'II_20', 'II_5', 'II_9', 'II_17', 'II_11', 'II_10', 'II_27', 'II_1', 'II_6', 'II_12', 'II_18', 'II_26', 'II_16', 'II_28', 'II_14', 'II_24', 'II_7', 'II_30', 'II_29', 'II_25', 'II_19', 'II_2', 'II_3']","['III_20', 'III_15', 'III_1', 'III_6', 'III_8', 'III_18', 'III_10', 'III_9', 'III_13', 'III_19', 'III_11', 'III_16', 'III_5', 'III_2', 'III_14', 'III_3']","['Noble_4', 'Noble_2', 'Noble_8', 'Noble_7', 'Noble_10']",0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 3, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 2, 'green': 0, 'white': 0, 'black': 0}","['I_19', 'I_12', 'I_15']",[],[],1,"{'red': 0, 'blue': 3, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}",['I_16'],[],['II_13'],0,"{'red': 2, 'blue': 2, 'green': 0, 'white': 1, 'black': 4, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}","['I_22', 'I_30']",[],[],3,"{'red': 1, 'blue': 1, 'green': 3, 'white': 0, 'black': 1, 'auto_color': 0}","{'red': 2, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}","['I_24', 'II_21', 'I_17']",[],['I_7']
