Board Stocks,Board I,Board II,Board III,Board Noble,BoardUpsiteDownI,BoardUpsiteDownII,BoardUpsiteDownIII,BoardUpsiteDownNoble,NA Score,NA Stocks,NA Stocks Const,NA Open,NA Noble,NA Upsite Down,Trang Score,Trang Stocks,Trang Stocks Const,Trang Open,Trang Noble,Trang Upsite Down,Thao Score,Thao Stocks,Thao Stocks Const,Thao Open,Thao Noble,Thao Upsite Down,Hieu Score,Hieu Stocks,Hieu Stocks Const,Hieu Open,Hieu Noble,Hieu Upsite Down
"{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 0, 'auto_color': 5}","['I_21', 'I_7', 'I_1', 'I_38']","['II_18', 'II_28', 'II_29', 'II_22']","['III_1', 'III_14', 'III_19', 'III_5']","['Noble_6', 'Noble_3', 'Noble_10', 'Noble_5', 'Noble_8']","['I_30', 'I_33', 'I_8', 'I_10', 'I_36', 'I_31', 'I_35', 'I_18', 'I_4', 'I_2', 'I_22', 'I_11', 'I_19', 'I_24', 'I_15', 'I_16', 'I_9', 'I_34', 'I_12', 'I_17', 'I_29', 'I_26', 'I_25', 'I_14', 'I_27', 'I_13', 'I_32', 'I_28']","['II_26', 'II_2', 'II_23', 'II_21', 'II_25', 'II_11', 'II_5', 'II_27', 'II_4', 'II_14', 'II_16', 'II_19', 'II_30', 'II_3', 'II_1', 'II_10', 'II_7', 'II_8', 'II_9', 'II_17', 'II_13', 'II_15', 'II_24', 'II_20']","['III_9', 'III_4', 'III_6', 'III_3', 'III_8', 'III_13', 'III_7', 'III_15', 'III_12', 'III_20', 'III_10', 'III_2', 'III_16', 'III_11', 'III_18', 'III_17']","['Noble_9', 'Noble_1', 'Noble_4', 'Noble_2', 'Noble_7']",0,"{'red': 1, 'blue': 1, 'green': 3, 'white': 2, 'black': 3, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 1, 'white': 0, 'black': 1}","['I_6', 'I_20', 'I_40']",[],[],1,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}",['II_12'],[],['II_6'],0,"{'red': 3, 'blue': 0, 'green': 0, 'white': 2, 'black': 3, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 1, 'white': 0, 'black': 0}","['I_3', 'I_23']",[],[],0,"{'red': 1, 'blue': 4, 'green': 2, 'white': 2, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 2}","['I_37', 'I_5', 'I_39']",[],[]
"{'red': 1, 'blue': 0, 'green': 1, 'white': 6, 'black': 5, 'auto_color': 5}","['I_30', 'I_7', 'I_1', 'I_33']","['II_26', 'II_28', 'II_29', 'II_22']","['III_1', 'III_14', 'III_19', 'III_5']","['Noble_6', 'Noble_3', 'Noble_10', 'Noble_5', 'Noble_8']","['I_8', 'I_10', 'I_36', 'I_31', 'I_35', 'I_18', 'I_4', 'I_2', 'I_22', 'I_11', 'I_19', 'I_24', 'I_15', 'I_16', 'I_9', 'I_34', 'I_12', 'I_17', 'I_29', 'I_26', 'I_25', 'I_14', 'I_27', 'I_13', 'I_32', 'I_28']","['II_2', 'II_23', 'II_21', 'II_25', 'II_11', 'II_5', 'II_27', 'II_4', 'II_14', 'II_16', 'II_19', 'II_30', 'II_3', 'II_1', 'II_10', 'II_7', 'II_8', 'II_9', 'II_17', 'II_13', 'II_15', 'II_24', 'II_20']","['III_9', 'III_4', 'III_6', 'III_3', 'III_8', 'III_13', 'III_7', 'III_15', 'III_12', 'III_20', 'III_10', 'III_2', 'III_16', 'III_11', 'III_18', 'III_17']","['Noble_9', 'Noble_1', 'Noble_4', 'Noble_2', 'Noble_7']",1,"{'red': 0, 'blue': 1, 'green': 3, 'white': 0, 'black': 1, 'auto_color': 0}","{'red': 2, 'blue': 0, 'green': 1, 'white': 0, 'black': 1}","['I_6', 'I_20', 'I_40', 'II_18']",[],[],1,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}",['II_12'],[],['II_6'],0,"{'red': 3, 'blue': 0, 'green': 0, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 2, 'blue': 0, 'green': 1, 'white': 0, 'black': 0}","['I_3', 'I_23', 'I_21']",[],[],0,"{'red': 1, 'blue': 4, 'green': 1, 'white': 0, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 3}","['I_37', 'I_5', 'I_39', 'I_38']",[],[]
"{'red': 0, 'blue': 0, 'green': 0, 'white': 3, 'black': 6, 'auto_color': 5}","['I_30', 'I_8', 'I_1', 'I_33']","['II_26', 'II_28', 'II_29', 'II_22']","['III_1', 'III_14', 'III_19', 'III_5']","['Noble_6', 'Noble_3', 'Noble_10', 'Noble_5', 'Noble_8']","['I_10', 'I_36', 'I_31', 'I_35', 'I_18', 'I_4', 'I_2', 'I_22', 'I_11', 'I_19', 'I_24', 'I_15', 'I_16', 'I_9', 'I_34', 'I_12', 'I_17', 'I_29', 'I_26', 'I_25', 'I_14', 'I_27', 'I_13', 'I_32', 'I_28']","['II_2', 'II_23', 'II_21', 'II_25', 'II_11', 'II_5', 'II_27', 'II_4', 'II_14', 'II_16', 'II_19', 'II_30', 'II_3', 'II_1', 'II_10', 'II_7', 'II_8', 'II_9', 'II_17', 'II_13', 'II_15', 'II_24', 'II_20']","['III_9', 'III_4', 'III_6', 'III_3', 'III_8', 'III_13', 'III_7', 'III_15', 'III_12', 'III_20', 'III_10', 'III_2', 'III_16', 'III_11', 'III_18', 'III_17']","['Noble_9', 'Noble_1', 'Noble_4', 'Noble_2', 'Noble_7']",1,"{'red': 1, 'blue': 1, 'green': 4, 'white': 1, 'black': 1, 'auto_color': 0}","{'red': 2, 'blue': 0, 'green': 1, 'white': 0, 'black': 1}","['I_6', 'I_20', 'I_40', 'II_18']",[],[],1,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}",['II_12'],[],['II_6'],0,"{'red': 3, 'blue': 0, 'green': 0, 'white': 3, 'black': 0, 'auto_color': 0}","{'red': 2, 'blue': 0, 'green': 1, 'white': 0, 'black': 0}","['I_3', 'I_23', 'I_21']",[],[],1,"{'red': 1, 'blue': 4, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 2, 'white': 0, 'black': 3}","['I_37', 'I_5', 'I_39', 'I_38', 'I_7']",[],[]
"{'red': 2, 'blue': 0, 'green': 4, 'white': 3, 'black': 4, 'auto_color': 5}","['I_30', 'I_8', 'I_1', 'I_10']","['II_26', 'II_2', 'II_29', 'II_22']","['III_1', 'III_14', 'III_19', 'III_5']","['Noble_6', 'Noble_3', 'Noble_10', 'Noble_5', 'Noble_8']","['I_36', 'I_31', 'I_35', 'I_18', 'I_4', 'I_2', 'I_22', 'I_11', 'I_19', 'I_24', 'I_15', 'I_16', 'I_9', 'I_34', 'I_12', 'I_17', 'I_29', 'I_26', 'I_25', 'I_14', 'I_27', 'I_13', 'I_32', 'I_28']","['II_23', 'II_21', 'II_25', 'II_11', 'II_5', 'II_27', 'II_4', 'II_14', 'II_16', 'II_19', 'II_30', 'II_3', 'II_1', 'II_10', 'II_7', 'II_8', 'II_9', 'II_17', 'II_13', 'II_15', 'II_24', 'II_20']","['III_9', 'III_4', 'III_6', 'III_3', 'III_8', 'III_13', 'III_7', 'III_15', 'III_12', 'III_20', 'III_10', 'III_2', 'III_16', 'III_11', 'III_18', 'III_17']","['Noble_9', 'Noble_1', 'Noble_4', 'Noble_2', 'Noble_7']",3,"{'red': 0, 'blue': 1, 'green': 0, 'white': 1, 'black': 1, 'auto_color': 0}","{'red': 2, 'blue': 0, 'green': 1, 'white': 0, 'black': 2}","['I_6', 'I_20', 'I_40', 'II_18', 'II_28']",[],[],1,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}",['II_12'],[],['II_6'],0,"{'red': 3, 'blue': 0, 'green': 0, 'white': 3, 'black': 2, 'auto_color': 0}","{'red': 2, 'blue': 0, 'green': 1, 'white': 0, 'black': 0}","['I_3', 'I_23', 'I_21']",[],[],1,"{'red': 0, 'blue': 4, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 2, 'white': 0, 'black': 4}","['I_37', 'I_5', 'I_39', 'I_38', 'I_7', 'I_33']",[],[]
"{'red': 1, 'blue': 0, 'green': 3, 'white': 2, 'black': 5, 'auto_color': 5}","['I_36', 'I_8', 'I_1', 'I_31']","['II_26', 'II_2', 'II_29', 'II_22']","['III_1', 'III_14', 'III_19', 'III_5']","['Noble_6', 'Noble_3', 'Noble_10', 'Noble_5', 'Noble_8']","['I_35', 'I_18', 'I_4', 'I_2', 'I_22', 'I_11', 'I_19', 'I_24', 'I_15', 'I_16', 'I_9', 'I_34', 'I_12', 'I_17', 'I_29', 'I_26', 'I_25', 'I_14', 'I_27', 'I_13', 'I_32', 'I_28']","['II_23', 'II_21', 'II_25', 'II_11', 'II_5', 'II_27', 'II_4', 'II_14', 'II_16', 'II_19', 'II_30', 'II_3', 'II_1', 'II_10', 'II_7', 'II_8', 'II_9', 'II_17', 'II_13', 'II_15', 'II_24', 'II_20']","['III_9', 'III_4', 'III_6', 'III_3', 'III_8', 'III_13', 'III_7', 'III_15', 'III_12', 'III_20', 'III_10', 'III_2', 'III_16', 'III_11', 'III_18', 'III_17']","['Noble_9', 'Noble_1', 'Noble_4', 'Noble_2', 'Noble_7']",3,"{'red': 1, 'blue': 1, 'green': 1, 'white': 2, 'black': 1, 'auto_color': 0}","{'red': 2, 'blue': 0, 'green': 1, 'white': 0, 'black': 2}","['I_6', 'I_20', 'I_40', 'II_18', 'II_28']",[],[],1,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}",['II_12'],[],['II_6'],0,"{'red': 3, 'blue': 0, 'green': 0, 'white': 3, 'black': 1, 'auto_color': 0}","{'red': 2, 'blue': 0, 'green': 1, 'white': 1, 'black': 0}","['I_3', 'I_23', 'I_21', 'I_30']",[],[],1,"{'red': 0, 'blue': 4, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 2, 'white': 0, 'black': 4}","['I_37', 'I_5', 'I_39', 'I_38', 'I_7', 'I_33', 'I_10']",[],[]
"{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 2, 'auto_color': 5}","['I_36', 'I_8', 'I_1', 'I_31']","['II_26', 'II_2', 'II_29', 'II_22']","['III_1', 'III_14', 'III_19', 'III_5']","['Noble_6', 'Noble_3', 'Noble_10', 'Noble_5', 'Noble_8']","['I_35', 'I_18', 'I_4', 'I_2', 'I_22', 'I_11', 'I_19', 'I_24', 'I_15', 'I_16', 'I_9', 'I_34', 'I_12', 'I_17', 'I_29', 'I_26', 'I_25', 'I_14', 'I_27', 'I_13', 'I_32', 'I_28']","['II_23', 'II_21', 'II_25', 'II_11', 'II_5', 'II_27', 'II_4', 'II_14', 'II_16', 'II_19', 'II_30', 'II_3', 'II_1', 'II_10', 'II_7', 'II_8', 'II_9', 'II_17', 'II_13', 'II_15', 'II_24', 'II_20']","['III_9', 'III_4', 'III_6', 'III_3', 'III_8', 'III_13', 'III_7', 'III_15', 'III_12', 'III_20', 'III_10', 'III_2', 'III_16', 'III_11', 'III_18', 'III_17']","['Noble_9', 'Noble_1', 'Noble_4', 'Noble_2', 'Noble_7']",3,"{'red': 1, 'blue': 1, 'green': 2, 'white': 3, 'black': 2, 'auto_color': 0}","{'red': 2, 'blue': 0, 'green': 1, 'white': 0, 'black': 2}","['I_6', 'I_20', 'I_40', 'II_18', 'II_28']",[],[],1,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}",['II_12'],[],['II_6'],0,"{'red': 3, 'blue': 0, 'green': 0, 'white': 3, 'black': 3, 'auto_color': 0}","{'red': 2, 'blue': 0, 'green': 1, 'white': 1, 'black': 0}","['I_3', 'I_23', 'I_21', 'I_30']",[],[],1,"{'red': 1, 'blue': 4, 'green': 2, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 2, 'white': 0, 'black': 4}","['I_37', 'I_5', 'I_39', 'I_38', 'I_7', 'I_33', 'I_10']",[],[]
"{'red': 1, 'blue': 0, 'green': 3, 'white': 0, 'black': 2, 'auto_color': 4}","['I_36', 'I_8', 'I_1', 'I_35']","['II_21', 'II_2', 'II_29', 'II_22']","['III_1', 'III_14', 'III_19', 'III_5']","['Noble_6', 'Noble_3', 'Noble_10', 'Noble_5', 'Noble_8']","['I_18', 'I_4', 'I_2', 'I_22', 'I_11', 'I_19', 'I_24', 'I_15', 'I_16', 'I_9', 'I_34', 'I_12', 'I_17', 'I_29', 'I_26', 'I_25', 'I_14', 'I_27', 'I_13', 'I_32', 'I_28']","['II_25', 'II_11', 'II_5', 'II_27', 'II_4', 'II_14', 'II_16', 'II_19', 'II_30', 'II_3', 'II_1', 'II_10', 'II_7', 'II_8', 'II_9', 'II_17', 'II_13', 'II_15', 'II_24', 'II_20']","['III_9', 'III_4', 'III_6', 'III_3', 'III_8', 'III_13', 'III_7', 'III_15', 'III_12', 'III_20', 'III_10', 'III_2', 'III_16', 'III_11', 'III_18', 'III_17']","['Noble_9', 'Noble_1', 'Noble_4', 'Noble_2', 'Noble_7']",4,"{'red': 1, 'blue': 1, 'green': 0, 'white': 3, 'black': 2, 'auto_color': 0}","{'red': 2, 'blue': 0, 'green': 1, 'white': 1, 'black': 2}","['I_6', 'I_20', 'I_40', 'II_18', 'II_28', 'II_23']",[],[],1,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}",['II_12'],[],['II_6'],0,"{'red': 3, 'blue': 0, 'green': 0, 'white': 3, 'black': 3, 'auto_color': 1}","{'red': 2, 'blue': 0, 'green': 1, 'white': 1, 'black': 0}","['I_3', 'I_23', 'I_21', 'I_30']",[],['II_26'],1,"{'red': 0, 'blue': 4, 'green': 2, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 2, 'white': 1, 'black': 4}","['I_37', 'I_5', 'I_39', 'I_38', 'I_7', 'I_33', 'I_10', 'I_31']",[],[]
"{'red': 0, 'blue': 1, 'green': 1, 'white': 0, 'black': 3, 'auto_color': 5}","['I_36', 'I_18', 'I_1', 'I_4']","['II_21', 'II_2', 'II_29', 'II_22']","['III_1', 'III_14', 'III_19', 'III_5']","['Noble_6', 'Noble_3', 'Noble_10', 'Noble_5', 'Noble_8']","['I_2', 'I_22', 'I_11', 'I_19', 'I_24', 'I_15', 'I_16', 'I_9', 'I_34', 'I_12', 'I_17', 'I_29', 'I_26', 'I_25', 'I_14', 'I_27', 'I_13', 'I_32', 'I_28']","['II_25', 'II_11', 'II_5', 'II_27', 'II_4', 'II_14', 'II_16', 'II_19', 'II_30', 'II_3', 'II_1', 'II_10', 'II_7', 'II_8', 'II_9', 'II_17', 'II_13', 'II_15', 'II_24', 'II_20']","['III_9', 'III_4', 'III_6', 'III_3', 'III_8', 'III_13', 'III_7', 'III_15', 'III_12', 'III_20', 'III_10', 'III_2', 'III_16', 'III_11', 'III_18', 'III_17']","['Noble_9', 'Noble_1', 'Noble_4', 'Noble_2', 'Noble_7']",4,"{'red': 1, 'blue': 2, 'green': 1, 'white': 3, 'black': 3, 'auto_color': 0}","{'red': 2, 'blue': 0, 'green': 1, 'white': 1, 'black': 2}","['I_6', 'I_20', 'I_40', 'II_18', 'II_28', 'II_23']",[],[],1,"{'red': 3, 'blue': 3, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}",['II_12'],[],['II_6'],0,"{'red': 3, 'blue': 0, 'green': 0, 'white': 3, 'black': 1, 'auto_color': 0}","{'red': 2, 'blue': 0, 'green': 2, 'white': 1, 'black': 0}","['I_3', 'I_23', 'I_21', 'I_30', 'I_8']",[],['II_26'],2,"{'red': 0, 'blue': 1, 'green': 2, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 2, 'white': 1, 'black': 5}","['I_37', 'I_5', 'I_39', 'I_38', 'I_7', 'I_33', 'I_10', 'I_31', 'I_35']",[],[]
"{'red': 0, 'blue': 3, 'green': 1, 'white': 6, 'black': 3, 'auto_color': 5}","['I_36', 'I_2', 'I_1', 'I_22']","['II_21', 'II_25', 'II_29', 'II_22']","['III_1', 'III_14', 'III_19', 'III_5']","['Noble_6', 'Noble_3', 'Noble_10', 'Noble_5', 'Noble_8']","['I_11', 'I_19', 'I_24', 'I_15', 'I_16', 'I_9', 'I_34', 'I_12', 'I_17', 'I_29', 'I_26', 'I_25', 'I_14', 'I_27', 'I_13', 'I_32', 'I_28']","['II_11', 'II_5', 'II_27', 'II_4', 'II_14', 'II_16', 'II_19', 'II_30', 'II_3', 'II_1', 'II_10', 'II_7', 'II_8', 'II_9', 'II_17', 'II_13', 'II_15', 'II_24', 'II_20']","['III_9', 'III_4', 'III_6', 'III_3', 'III_8', 'III_13', 'III_7', 'III_15', 'III_12', 'III_20', 'III_10', 'III_2', 'III_16', 'III_11', 'III_18', 'III_17']","['Noble_9', 'Noble_1', 'Noble_4', 'Noble_2', 'Noble_7']",6,"{'red': 1, 'blue': 0, 'green': 1, 'white': 0, 'black': 3, 'auto_color': 0}","{'red': 2, 'blue': 0, 'green': 2, 'white': 1, 'black': 2}","['I_6', 'I_20', 'I_40', 'II_18', 'II_28', 'II_23', 'II_2']",[],[],1,"{'red': 3, 'blue': 3, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}",['II_12'],[],['II_6'],0,"{'red': 3, 'blue': 0, 'green': 0, 'white': 1, 'black': 1, 'auto_color': 0}","{'red': 3, 'blue': 0, 'green': 2, 'white': 1, 'black': 0}","['I_3', 'I_23', 'I_21', 'I_30', 'I_8', 'I_18']",[],['II_26'],2,"{'red': 0, 'blue': 1, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 3, 'white': 1, 'black': 5}","['I_37', 'I_5', 'I_39', 'I_38', 'I_7', 'I_33', 'I_10', 'I_31', 'I_35', 'I_4']",[],[]
"{'red': 0, 'blue': 1, 'green': 0, 'white': 4, 'black': 2, 'auto_color': 5}","['I_36', 'I_11', 'I_1', 'I_22']","['II_21', 'II_25', 'II_29', 'II_22']","['III_1', 'III_14', 'III_19', 'III_5']","['Noble_6', 'Noble_3', 'Noble_10', 'Noble_5', 'Noble_8']","['I_19', 'I_24', 'I_15', 'I_16', 'I_9', 'I_34', 'I_12', 'I_17', 'I_29', 'I_26', 'I_25', 'I_14', 'I_27', 'I_13', 'I_32', 'I_28']","['II_11', 'II_5', 'II_27', 'II_4', 'II_14', 'II_16', 'II_19', 'II_30', 'II_3', 'II_1', 'II_10', 'II_7', 'II_8', 'II_9', 'II_17', 'II_13', 'II_15', 'II_24', 'II_20']","['III_9', 'III_4', 'III_6', 'III_3', 'III_8', 'III_13', 'III_7', 'III_15', 'III_12', 'III_20', 'III_10', 'III_2', 'III_16', 'III_11', 'III_18', 'III_17']","['Noble_9', 'Noble_1', 'Noble_4', 'Noble_2', 'Noble_7']",6,"{'red': 1, 'blue': 1, 'green': 1, 'white': 1, 'black': 4, 'auto_color': 0}","{'red': 2, 'blue': 0, 'green': 2, 'white': 1, 'black': 2}","['I_6', 'I_20', 'I_40', 'II_18', 'II_28', 'II_23', 'II_2']",[],[],1,"{'red': 3, 'blue': 3, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}",['II_12'],[],['II_6'],0,"{'red': 3, 'blue': 0, 'green': 0, 'white': 1, 'black': 1, 'auto_color': 0}","{'red': 3, 'blue': 0, 'green': 3, 'white': 1, 'black': 0}","['I_3', 'I_23', 'I_21', 'I_30', 'I_8', 'I_18', 'I_2']",[],['II_26'],2,"{'red': 0, 'blue': 2, 'green': 3, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 3, 'white': 1, 'black': 5}","['I_37', 'I_5', 'I_39', 'I_38', 'I_7', 'I_33', 'I_10', 'I_31', 'I_35', 'I_4']",[],[]
"{'red': 0, 'blue': 1, 'green': 0, 'white': 6, 'black': 3, 'auto_color': 5}","['I_36', 'I_24', 'I_1', 'I_15']","['II_21', 'II_25', 'II_29', 'II_22']","['III_1', 'III_14', 'III_19', 'III_5']","['Noble_6', 'Noble_3', 'Noble_10', 'Noble_5', 'Noble_8']","['I_16', 'I_9', 'I_34', 'I_12', 'I_17', 'I_29', 'I_26', 'I_25', 'I_14', 'I_27', 'I_13', 'I_32', 'I_28']","['II_11', 'II_5', 'II_27', 'II_4', 'II_14', 'II_16', 'II_19', 'II_30', 'II_3', 'II_1', 'II_10', 'II_7', 'II_8', 'II_9', 'II_17', 'II_13', 'II_15', 'II_24', 'II_20']","['III_9', 'III_4', 'III_6', 'III_3', 'III_8', 'III_13', 'III_7', 'III_15', 'III_12', 'III_20', 'III_10', 'III_2', 'III_16', 'III_11', 'III_18', 'III_17']","['Noble_9', 'Noble_1', 'Noble_4', 'Noble_2', 'Noble_7']",6,"{'red': 1, 'blue': 1, 'green': 1, 'white': 0, 'black': 4, 'auto_color': 0}","{'red': 3, 'blue': 0, 'green': 2, 'white': 1, 'black': 2}","['I_6', 'I_20', 'I_40', 'II_18', 'II_28', 'II_23', 'II_2', 'I_22']",[],[],1,"{'red': 3, 'blue': 3, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}",['II_12'],[],['II_6'],0,"{'red': 3, 'blue': 0, 'green': 0, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 3, 'blue': 1, 'green': 3, 'white': 1, 'black': 0}","['I_3', 'I_23', 'I_21', 'I_30', 'I_8', 'I_18', 'I_2', 'I_11']",[],['II_26'],2,"{'red': 0, 'blue': 2, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 1, 'green': 3, 'white': 1, 'black': 5}","['I_37', 'I_5', 'I_39', 'I_38', 'I_7', 'I_33', 'I_10', 'I_31', 'I_35', 'I_4', 'I_19']",[],[]
"{'red': 2, 'blue': 1, 'green': 0, 'white': 5, 'black': 2, 'auto_color': 5}","['I_36', 'I_24', 'I_1', 'I_15']","['II_5', 'II_25', 'II_29', 'II_22']","['III_1', 'III_14', 'III_19', 'III_5']","['Noble_6', 'Noble_3', 'Noble_10', 'Noble_5', 'Noble_8']","['I_16', 'I_9', 'I_34', 'I_12', 'I_17', 'I_29', 'I_26', 'I_25', 'I_14', 'I_27', 'I_13', 'I_32', 'I_28']","['II_27', 'II_4', 'II_14', 'II_16', 'II_19', 'II_30', 'II_3', 'II_1', 'II_10', 'II_7', 'II_8', 'II_9', 'II_17', 'II_13', 'II_15', 'II_24', 'II_20']","['III_9', 'III_4', 'III_6', 'III_3', 'III_8', 'III_13', 'III_7', 'III_15', 'III_12', 'III_20', 'III_10', 'III_2', 'III_16', 'III_11', 'III_18', 'III_17']","['Noble_9', 'Noble_1', 'Noble_4', 'Noble_2', 'Noble_7']",6,"{'red': 1, 'blue': 2, 'green': 1, 'white': 1, 'black': 5, 'auto_color': 0}","{'red': 3, 'blue': 0, 'green': 2, 'white': 1, 'black': 2}","['I_6', 'I_20', 'I_40', 'II_18', 'II_28', 'II_23', 'II_2', 'I_22']",[],[],1,"{'red': 3, 'blue': 3, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}",['II_12'],[],['II_6'],2,"{'red': 1, 'blue': 0, 'green': 0, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 3, 'blue': 1, 'green': 3, 'white': 2, 'black': 0}","['I_3', 'I_23', 'I_21', 'I_30', 'I_8', 'I_18', 'I_2', 'I_11', 'II_21']",[],['II_26'],3,"{'red': 0, 'blue': 1, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 2, 'green': 3, 'white': 1, 'black': 5}","['I_37', 'I_5', 'I_39', 'I_38', 'I_7', 'I_33', 'I_10', 'I_31', 'I_35', 'I_4', 'I_19', 'II_11']",[],[]
"{'red': 3, 'blue': 2, 'green': 1, 'white': 4, 'black': 2, 'auto_color': 5}","['I_16', 'I_24', 'I_1', 'I_15']","['II_27', 'II_25', 'II_29', 'II_22']","['III_1', 'III_14', 'III_19', 'III_5']","['Noble_6', 'Noble_3', 'Noble_10', 'Noble_5', 'Noble_8']","['I_9', 'I_34', 'I_12', 'I_17', 'I_29', 'I_26', 'I_25', 'I_14', 'I_27', 'I_13', 'I_32', 'I_28']","['II_4', 'II_14', 'II_16', 'II_19', 'II_30', 'II_3', 'II_1', 'II_10', 'II_7', 'II_8', 'II_9', 'II_17', 'II_13', 'II_15', 'II_24', 'II_20']","['III_9', 'III_4', 'III_6', 'III_3', 'III_8', 'III_13', 'III_7', 'III_15', 'III_12', 'III_20', 'III_10', 'III_2', 'III_16', 'III_11', 'III_18', 'III_17']","['Noble_9', 'Noble_1', 'Noble_4', 'Noble_2', 'Noble_7']",6,"{'red': 1, 'blue': 0, 'green': 1, 'white': 0, 'black': 5, 'auto_color': 0}","{'red': 3, 'blue': 0, 'green': 2, 'white': 1, 'black': 3}","['I_6', 'I_20', 'I_40', 'II_18', 'II_28', 'II_23', 'II_2', 'I_22', 'I_36']",[],[],1,"{'red': 2, 'blue': 4, 'green': 4, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}",['II_12'],[],['II_6'],2,"{'red': 1, 'blue': 0, 'green': 0, 'white': 3, 'black': 0, 'auto_color': 0}","{'red': 3, 'blue': 1, 'green': 3, 'white': 2, 'black': 0}","['I_3', 'I_23', 'I_21', 'I_30', 'I_8', 'I_18', 'I_2', 'I_11', 'II_21']",[],['II_26'],5,"{'red': 0, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 2, 'green': 4, 'white': 1, 'black': 5}","['I_37', 'I_5', 'I_39', 'I_38', 'I_7', 'I_33', 'I_10', 'I_31', 'I_35', 'I_4', 'I_19', 'II_11', 'II_5']",[],[]
