Board Stocks,Board I,Board II,Board III,Board Noble,BoardUpsiteDownI,BoardUpsiteDownII,BoardUpsiteDownIII,BoardUpsiteDownNoble,NA Score,NA Stocks,NA Stocks Const,NA Open,NA Noble,NA Upsite Down,Trang Score,Trang Stocks,Trang Stocks Const,Trang Open,Trang Noble,Trang Upsite Down,Thao Score,Thao Stocks,Thao Stocks Const,Thao Open,Thao Noble,Thao Upsite Down,Hieu Score,Hieu Stocks,Hieu Stocks Const,Hieu Open,Hieu Noble,Hieu Upsite Down
"{'red': 1, 'blue': 3, 'green': 2, 'white': 4, 'black': 5, 'auto_color': 4}","['I_16', 'I_5', 'I_8', 'I_32']","['II_1', 'II_15', 'II_23', 'II_11']","['III_8', 'III_11', 'III_18', 'III_10']","['Noble_7', 'Noble_3', 'Noble_5', 'Noble_9', 'Noble_2']","['I_38', 'I_10', 'I_4', 'I_7', 'I_39', 'I_22', 'I_26', 'I_37', 'I_12', 'I_14', 'I_28', 'I_33', 'I_24', 'I_19', 'I_21', 'I_15', 'I_20', 'I_18', 'I_31', 'I_34', 'I_25', 'I_9', 'I_13', 'I_6', 'I_29', 'I_3', 'I_36', 'I_11']","['II_20', 'II_2', 'II_30', 'II_19', 'II_29', 'II_3', 'II_7', 'II_17', 'II_12', 'II_9', 'II_24', 'II_14', 'II_26', 'II_13', 'II_22', 'II_16', 'II_4', 'II_27', 'II_18', 'II_21', 'II_28']","['III_14', 'III_19', 'III_4', 'III_1', 'III_15', 'III_6', 'III_20', 'III_17', 'III_2', 'III_5', 'III_16', 'III_9', 'III_13', 'III_7', 'III_12', 'III_3']","['Noble_8', 'Noble_6', 'Noble_4', 'Noble_10', 'Noble_1']",3,"{'red': 1, 'blue': 2, 'green': 0, 'white': 0, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 2}","['I_40', 'II_25', 'II_8']",[],[],1,"{'red': 3, 'blue': 1, 'green': 5, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['I_35'],[],['II_6'],1,"{'red': 1, 'blue': 1, 'green': 0, 'white': 2, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 2, 'black': 0}","['I_17', 'I_30', 'I_27']",[],[],2,"{'red': 1, 'blue': 0, 'green': 0, 'white': 1, 'black': 1, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 3, 'white': 0, 'black': 0}","['I_23', 'I_2', 'II_5', 'I_1']",[],['II_10']
"{'red': 2, 'blue': 0, 'green': 0, 'white': 2, 'black': 3, 'auto_color': 4}","['I_16', 'I_5', 'I_8', 'I_32']","['II_1', 'II_15', 'II_23', 'II_11']","['III_8', 'III_11', 'III_18', 'III_10']","['Noble_7', 'Noble_3', 'Noble_5', 'Noble_9', 'Noble_2']","['I_38', 'I_10', 'I_4', 'I_7', 'I_39', 'I_22', 'I_26', 'I_37', 'I_12', 'I_14', 'I_28', 'I_33', 'I_24', 'I_19', 'I_21', 'I_15', 'I_20', 'I_18', 'I_31', 'I_34', 'I_25', 'I_9', 'I_13', 'I_6', 'I_29', 'I_3', 'I_36', 'I_11']","['II_20', 'II_2', 'II_30', 'II_19', 'II_29', 'II_3', 'II_7', 'II_17', 'II_12', 'II_9', 'II_24', 'II_14', 'II_26', 'II_13', 'II_22', 'II_16', 'II_4', 'II_27', 'II_18', 'II_21', 'II_28']","['III_14', 'III_19', 'III_4', 'III_1', 'III_15', 'III_6', 'III_20', 'III_17', 'III_2', 'III_5', 'III_16', 'III_9', 'III_13', 'III_7', 'III_12', 'III_3']","['Noble_8', 'Noble_6', 'Noble_4', 'Noble_10', 'Noble_1']",3,"{'red': 1, 'blue': 3, 'green': 1, 'white': 1, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 2}","['I_40', 'II_25', 'II_8']",[],[],1,"{'red': 1, 'blue': 2, 'green': 6, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['I_35'],[],['II_6'],1,"{'red': 1, 'blue': 1, 'green': 0, 'white': 2, 'black': 2, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 2, 'black': 0}","['I_17', 'I_30', 'I_27']",[],[],2,"{'red': 2, 'blue': 1, 'green': 0, 'white': 2, 'black': 1, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 3, 'white': 0, 'black': 0}","['I_23', 'I_2', 'II_5', 'I_1']",[],['II_10']
"{'red': 1, 'blue': 1, 'green': 5, 'white': 0, 'black': 4, 'auto_color': 4}","['I_16', 'I_5', 'I_38', 'I_32']","['II_1', 'II_15', 'II_23', 'II_11']","['III_8', 'III_11', 'III_18', 'III_10']","['Noble_7', 'Noble_3', 'Noble_5', 'Noble_9', 'Noble_2']","['I_10', 'I_4', 'I_7', 'I_39', 'I_22', 'I_26', 'I_37', 'I_12', 'I_14', 'I_28', 'I_33', 'I_24', 'I_19', 'I_21', 'I_15', 'I_20', 'I_18', 'I_31', 'I_34', 'I_25', 'I_9', 'I_13', 'I_6', 'I_29', 'I_3', 'I_36', 'I_11']","['II_20', 'II_2', 'II_30', 'II_19', 'II_29', 'II_3', 'II_7', 'II_17', 'II_12', 'II_9', 'II_24', 'II_14', 'II_26', 'II_13', 'II_22', 'II_16', 'II_4', 'II_27', 'II_18', 'II_21', 'II_28']","['III_14', 'III_19', 'III_4', 'III_1', 'III_15', 'III_6', 'III_20', 'III_17', 'III_2', 'III_5', 'III_16', 'III_9', 'III_13', 'III_7', 'III_12', 'III_3']","['Noble_8', 'Noble_6', 'Noble_4', 'Noble_10', 'Noble_1']",3,"{'red': 2, 'blue': 3, 'green': 1, 'white': 2, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 2}","['I_40', 'II_25', 'II_8']",[],[],4,"{'red': 1, 'blue': 2, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 1}","['I_35', 'II_6']",[],[],1,"{'red': 0, 'blue': 0, 'green': 0, 'white': 2, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 1, 'white': 2, 'black': 0}","['I_17', 'I_30', 'I_27', 'I_8']",[],[],2,"{'red': 3, 'blue': 1, 'green': 1, 'white': 3, 'black': 1, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 3, 'white': 0, 'black': 0}","['I_23', 'I_2', 'II_5', 'I_1']",[],['II_10']
"{'red': 3, 'blue': 2, 'green': 2, 'white': 2, 'black': 4, 'auto_color': 4}","['I_10', 'I_5', 'I_38', 'I_32']","['II_20', 'II_15', 'II_23', 'II_11']","['III_8', 'III_11', 'III_18', 'III_10']","['Noble_7', 'Noble_3', 'Noble_5', 'Noble_9', 'Noble_2']","['I_4', 'I_7', 'I_39', 'I_22', 'I_26', 'I_37', 'I_12', 'I_14', 'I_28', 'I_33', 'I_24', 'I_19', 'I_21', 'I_15', 'I_20', 'I_18', 'I_31', 'I_34', 'I_25', 'I_9', 'I_13', 'I_6', 'I_29', 'I_3', 'I_36', 'I_11']","['II_2', 'II_30', 'II_19', 'II_29', 'II_3', 'II_7', 'II_17', 'II_12', 'II_9', 'II_24', 'II_14', 'II_26', 'II_13', 'II_22', 'II_16', 'II_4', 'II_27', 'II_18', 'II_21', 'II_28']","['III_14', 'III_19', 'III_4', 'III_1', 'III_15', 'III_6', 'III_20', 'III_17', 'III_2', 'III_5', 'III_16', 'III_9', 'III_13', 'III_7', 'III_12', 'III_3']","['Noble_8', 'Noble_6', 'Noble_4', 'Noble_10', 'Noble_1']",4,"{'red': 2, 'blue': 1, 'green': 1, 'white': 0, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 1, 'white': 0, 'black': 2}","['I_40', 'II_25', 'II_8', 'II_1']",[],[],4,"{'red': 2, 'blue': 3, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 1}","['I_35', 'II_6']",[],[],1,"{'red': 0, 'blue': 0, 'green': 2, 'white': 2, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 1, 'white': 2, 'black': 0}","['I_17', 'I_30', 'I_27', 'I_8']",[],[],3,"{'red': 0, 'blue': 1, 'green': 1, 'white': 3, 'black': 1, 'auto_color': 0}","{'red': 1, 'blue': 1, 'green': 3, 'white': 0, 'black': 0}","['I_23', 'I_2', 'II_5', 'I_1', 'I_16']",[],['II_10']
"{'red': 1, 'blue': 0, 'green': 1, 'white': 3, 'black': 2, 'auto_color': 4}","['I_10', 'I_5', 'I_4', 'I_32']","['II_20', 'II_15', 'II_23', 'II_11']","['III_8', 'III_11', 'III_18', 'III_10']","['Noble_7', 'Noble_3', 'Noble_5', 'Noble_9', 'Noble_2']","['I_7', 'I_39', 'I_22', 'I_26', 'I_37', 'I_12', 'I_14', 'I_28', 'I_33', 'I_24', 'I_19', 'I_21', 'I_15', 'I_20', 'I_18', 'I_31', 'I_34', 'I_25', 'I_9', 'I_13', 'I_6', 'I_29', 'I_3', 'I_36', 'I_11']","['II_2', 'II_30', 'II_19', 'II_29', 'II_3', 'II_7', 'II_17', 'II_12', 'II_9', 'II_24', 'II_14', 'II_26', 'II_13', 'II_22', 'II_16', 'II_4', 'II_27', 'II_18', 'II_21', 'II_28']","['III_14', 'III_19', 'III_4', 'III_1', 'III_15', 'III_6', 'III_20', 'III_17', 'III_2', 'III_5', 'III_16', 'III_9', 'III_13', 'III_7', 'III_12', 'III_3']","['Noble_8', 'Noble_6', 'Noble_4', 'Noble_10', 'Noble_1']",4,"{'red': 3, 'blue': 2, 'green': 1, 'white': 1, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 1, 'white': 0, 'black': 2}","['I_40', 'II_25', 'II_8', 'II_1']",[],[],4,"{'red': 3, 'blue': 4, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 1}","['I_35', 'II_6']",[],[],1,"{'red': 0, 'blue': 0, 'green': 2, 'white': 2, 'black': 2, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 1, 'white': 2, 'black': 0}","['I_17', 'I_30', 'I_27', 'I_8']",[],[],3,"{'red': 0, 'blue': 1, 'green': 1, 'white': 1, 'black': 1, 'auto_color': 0}","{'red': 1, 'blue': 1, 'green': 3, 'white': 0, 'black': 1}","['I_23', 'I_2', 'II_5', 'I_1', 'I_16', 'I_38']",[],['II_10']
"{'red': 1, 'blue': 0, 'green': 2, 'white': 1, 'black': 2, 'auto_color': 5}","['I_7', 'I_5', 'I_4', 'I_32']","['II_20', 'II_15', 'II_2', 'II_11']","['III_8', 'III_11', 'III_18', 'III_10']","['Noble_7', 'Noble_3', 'Noble_5', 'Noble_9', 'Noble_2']","['I_39', 'I_22', 'I_26', 'I_37', 'I_12', 'I_14', 'I_28', 'I_33', 'I_24', 'I_19', 'I_21', 'I_15', 'I_20', 'I_18', 'I_31', 'I_34', 'I_25', 'I_9', 'I_13', 'I_6', 'I_29', 'I_3', 'I_36', 'I_11']","['II_30', 'II_19', 'II_29', 'II_3', 'II_7', 'II_17', 'II_12', 'II_9', 'II_24', 'II_14', 'II_26', 'II_13', 'II_22', 'II_16', 'II_4', 'II_27', 'II_18', 'II_21', 'II_28']","['III_14', 'III_19', 'III_4', 'III_1', 'III_15', 'III_6', 'III_20', 'III_17', 'III_2', 'III_5', 'III_16', 'III_9', 'III_13', 'III_7', 'III_12', 'III_3']","['Noble_8', 'Noble_6', 'Noble_4', 'Noble_10', 'Noble_1']",4,"{'red': 3, 'blue': 2, 'green': 0, 'white': 1, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 2, 'green': 1, 'white': 0, 'black': 2}","['I_40', 'II_25', 'II_8', 'II_1', 'I_10']",[],[],5,"{'red': 1, 'blue': 4, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 1, 'black': 1}","['I_35', 'II_6', 'II_23']",[],[],1,"{'red': 1, 'blue': 0, 'green': 3, 'white': 3, 'black': 2, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 1, 'white': 2, 'black': 0}","['I_17', 'I_30', 'I_27', 'I_8']",[],[],3,"{'red': 1, 'blue': 1, 'green': 2, 'white': 2, 'black': 1, 'auto_color': 0}","{'red': 1, 'blue': 1, 'green': 3, 'white': 0, 'black': 1}","['I_23', 'I_2', 'II_5', 'I_1', 'I_16', 'I_38']",[],['II_10']
"{'red': 2, 'blue': 0, 'green': 2, 'white': 3, 'black': 4, 'auto_color': 5}","['I_39', 'I_5', 'I_26', 'I_32']","['II_20', 'II_15', 'II_2', 'II_11']","['III_8', 'III_11', 'III_18', 'III_10']","['Noble_7', 'Noble_3', 'Noble_5', 'Noble_9', 'Noble_2']","['I_37', 'I_12', 'I_14', 'I_28', 'I_33', 'I_24', 'I_19', 'I_21', 'I_15', 'I_20', 'I_18', 'I_31', 'I_34', 'I_25', 'I_9', 'I_13', 'I_6', 'I_29', 'I_3', 'I_36', 'I_11']","['II_30', 'II_19', 'II_29', 'II_3', 'II_7', 'II_17', 'II_12', 'II_9', 'II_24', 'II_14', 'II_26', 'II_13', 'II_22', 'II_16', 'II_4', 'II_27', 'II_18', 'II_21', 'II_28']","['III_14', 'III_19', 'III_4', 'III_1', 'III_15', 'III_6', 'III_20', 'III_17', 'III_2', 'III_5', 'III_16', 'III_9', 'III_13', 'III_7', 'III_12', 'III_3']","['Noble_8', 'Noble_6', 'Noble_4', 'Noble_10', 'Noble_1']",5,"{'red': 3, 'blue': 2, 'green': 0, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 2, 'green': 2, 'white': 0, 'black': 2}","['I_40', 'II_25', 'II_8', 'II_1', 'I_10', 'I_7']",[],[],5,"{'red': 1, 'blue': 4, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 1, 'black': 1}","['I_35', 'II_6', 'II_23']",[],[],1,"{'red': 0, 'blue': 0, 'green': 3, 'white': 3, 'black': 2, 'auto_color': 0}","{'red': 2, 'blue': 0, 'green': 1, 'white': 2, 'black': 0}","['I_17', 'I_30', 'I_27', 'I_8', 'I_22']",[],[],3,"{'red': 1, 'blue': 1, 'green': 2, 'white': 0, 'black': 1, 'auto_color': 0}","{'red': 1, 'blue': 1, 'green': 4, 'white': 0, 'black': 1}","['I_23', 'I_2', 'II_5', 'I_1', 'I_16', 'I_38', 'I_4']",[],['II_10']
"{'red': 2, 'blue': 0, 'green': 3, 'white': 2, 'black': 3, 'auto_color': 5}","['I_39', 'I_5', 'I_12', 'I_32']","['II_20', 'II_15', 'II_2', 'II_11']","['III_8', 'III_11', 'III_18', 'III_10']","['Noble_7', 'Noble_3', 'Noble_5', 'Noble_9', 'Noble_2']","['I_14', 'I_28', 'I_33', 'I_24', 'I_19', 'I_21', 'I_15', 'I_20', 'I_18', 'I_31', 'I_34', 'I_25', 'I_9', 'I_13', 'I_6', 'I_29', 'I_3', 'I_36', 'I_11']","['II_30', 'II_19', 'II_29', 'II_3', 'II_7', 'II_17', 'II_12', 'II_9', 'II_24', 'II_14', 'II_26', 'II_13', 'II_22', 'II_16', 'II_4', 'II_27', 'II_18', 'II_21', 'II_28']","['III_14', 'III_19', 'III_4', 'III_1', 'III_15', 'III_6', 'III_20', 'III_17', 'III_2', 'III_5', 'III_16', 'III_9', 'III_13', 'III_7', 'III_12', 'III_3']","['Noble_8', 'Noble_6', 'Noble_4', 'Noble_10', 'Noble_1']",5,"{'red': 3, 'blue': 2, 'green': 1, 'white': 2, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 2, 'green': 2, 'white': 0, 'black': 2}","['I_40', 'II_25', 'II_8', 'II_1', 'I_10', 'I_7']",[],[],5,"{'red': 1, 'blue': 4, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 1, 'black': 1}","['I_35', 'II_6', 'II_23']",[],[],1,"{'red': 0, 'blue': 0, 'green': 1, 'white': 3, 'black': 2, 'auto_color': 0}","{'red': 2, 'blue': 0, 'green': 1, 'white': 2, 'black': 1}","['I_17', 'I_30', 'I_27', 'I_8', 'I_22', 'I_37']",[],[],3,"{'red': 1, 'blue': 1, 'green': 2, 'white': 0, 'black': 1, 'auto_color': 0}","{'red': 1, 'blue': 1, 'green': 4, 'white': 1, 'black': 1}","['I_23', 'I_2', 'II_5', 'I_1', 'I_16', 'I_38', 'I_4', 'I_26']",[],['II_10']
"{'red': 3, 'blue': 0, 'green': 4, 'white': 2, 'black': 5, 'auto_color': 4}","['I_39', 'I_5', 'I_28', 'I_32']","['II_20', 'II_15', 'II_2', 'II_19']","['III_8', 'III_11', 'III_18', 'III_10']","['Noble_7', 'Noble_3', 'Noble_5', 'Noble_9', 'Noble_2']","['I_33', 'I_24', 'I_19', 'I_21', 'I_15', 'I_20', 'I_18', 'I_31', 'I_34', 'I_25', 'I_9', 'I_13', 'I_6', 'I_29', 'I_3', 'I_36', 'I_11']","['II_29', 'II_3', 'II_7', 'II_17', 'II_12', 'II_9', 'II_24', 'II_14', 'II_26', 'II_13', 'II_22', 'II_16', 'II_4', 'II_27', 'II_18', 'II_21', 'II_28']","['III_14', 'III_19', 'III_4', 'III_1', 'III_15', 'III_6', 'III_20', 'III_17', 'III_2', 'III_5', 'III_16', 'III_9', 'III_13', 'III_7', 'III_12', 'III_3']","['Noble_8', 'Noble_6', 'Noble_4', 'Noble_10', 'Noble_1']",6,"{'red': 3, 'blue': 2, 'green': 0, 'white': 2, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 3, 'green': 2, 'white': 0, 'black': 2}","['I_40', 'II_25', 'II_8', 'II_1', 'I_10', 'I_7', 'II_11']",[],[],5,"{'red': 1, 'blue': 4, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 1, 'white': 1, 'black': 1}","['I_35', 'II_6', 'II_23']",[],['II_30'],1,"{'red': 0, 'blue': 0, 'green': 1, 'white': 3, 'black': 1, 'auto_color': 0}","{'red': 2, 'blue': 1, 'green': 1, 'white': 2, 'black': 1}","['I_17', 'I_30', 'I_27', 'I_8', 'I_22', 'I_37', 'I_14']",[],[],3,"{'red': 0, 'blue': 1, 'green': 2, 'white': 0, 'black': 1, 'auto_color': 0}","{'red': 1, 'blue': 2, 'green': 4, 'white': 1, 'black': 1}","['I_23', 'I_2', 'II_5', 'I_1', 'I_16', 'I_38', 'I_4', 'I_26', 'I_12']",[],['II_10']
"{'red': 3, 'blue': 0, 'green': 4, 'white': 1, 'black': 4, 'auto_color': 3}","['I_39', 'I_5', 'I_24', 'I_32']","['II_20', 'II_15', 'II_2', 'II_29']","['III_8', 'III_11', 'III_18', 'III_10']","['Noble_7', 'Noble_3', 'Noble_5', 'Noble_9', 'Noble_2']","['I_19', 'I_21', 'I_15', 'I_20', 'I_18', 'I_31', 'I_34', 'I_25', 'I_9', 'I_13', 'I_6', 'I_29', 'I_3', 'I_36', 'I_11']","['II_3', 'II_7', 'II_17', 'II_12', 'II_9', 'II_24', 'II_14', 'II_26', 'II_13', 'II_22', 'II_16', 'II_4', 'II_27', 'II_18', 'II_21', 'II_28']","['III_14', 'III_19', 'III_4', 'III_1', 'III_15', 'III_6', 'III_20', 'III_17', 'III_2', 'III_5', 'III_16', 'III_9', 'III_13', 'III_7', 'III_12', 'III_3']","['Noble_8', 'Noble_6', 'Noble_4', 'Noble_10', 'Noble_1']",6,"{'red': 3, 'blue': 2, 'green': 1, 'white': 3, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 3, 'green': 2, 'white': 0, 'black': 2}","['I_40', 'II_25', 'II_8', 'II_1', 'I_10', 'I_7', 'II_11']",[],[],5,"{'red': 1, 'blue': 4, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 1, 'white': 1, 'black': 1}","['I_35', 'II_6', 'II_23']",[],"['II_30', 'II_19']",1,"{'red': 0, 'blue': 0, 'green': 0, 'white': 3, 'black': 1, 'auto_color': 0}","{'red': 2, 'blue': 1, 'green': 1, 'white': 2, 'black': 2}","['I_17', 'I_30', 'I_27', 'I_8', 'I_22', 'I_37', 'I_14', 'I_33']",[],[],4,"{'red': 0, 'blue': 1, 'green': 2, 'white': 0, 'black': 1, 'auto_color': 0}","{'red': 1, 'blue': 2, 'green': 4, 'white': 2, 'black': 1}","['I_23', 'I_2', 'II_5', 'I_1', 'I_16', 'I_38', 'I_4', 'I_26', 'I_12', 'I_28']",[],['II_10']
"{'red': 6, 'blue': 0, 'green': 4, 'white': 1, 'black': 4, 'auto_color': 3}","['I_15', 'I_5', 'I_21', 'I_32']","['II_20', 'II_15', 'II_2', 'II_29']","['III_8', 'III_11', 'III_18', 'III_10']","['Noble_7', 'Noble_3', 'Noble_5', 'Noble_9', 'Noble_2']","['I_20', 'I_18', 'I_31', 'I_34', 'I_25', 'I_9', 'I_13', 'I_6', 'I_29', 'I_3', 'I_36', 'I_11']","['II_3', 'II_7', 'II_17', 'II_12', 'II_9', 'II_24', 'II_14', 'II_26', 'II_13', 'II_22', 'II_16', 'II_4', 'II_27', 'II_18', 'II_21', 'II_28']","['III_14', 'III_19', 'III_4', 'III_1', 'III_15', 'III_6', 'III_20', 'III_17', 'III_2', 'III_5', 'III_16', 'III_9', 'III_13', 'III_7', 'III_12', 'III_3']","['Noble_8', 'Noble_6', 'Noble_4', 'Noble_10', 'Noble_1']",6,"{'red': 0, 'blue': 2, 'green': 1, 'white': 3, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 3, 'green': 2, 'white': 0, 'black': 3}","['I_40', 'II_25', 'II_8', 'II_1', 'I_10', 'I_7', 'II_11', 'I_39']",[],[],5,"{'red': 1, 'blue': 4, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 1, 'white': 1, 'black': 1}","['I_35', 'II_6', 'II_23']",[],"['II_30', 'II_19']",1,"{'red': 0, 'blue': 0, 'green': 0, 'white': 3, 'black': 1, 'auto_color': 0}","{'red': 3, 'blue': 1, 'green': 1, 'white': 2, 'black': 2}","['I_17', 'I_30', 'I_27', 'I_8', 'I_22', 'I_37', 'I_14', 'I_33', 'I_19']",[],[],4,"{'red': 0, 'blue': 1, 'green': 2, 'white': 0, 'black': 1, 'auto_color': 0}","{'red': 2, 'blue': 2, 'green': 4, 'white': 2, 'black': 1}","['I_23', 'I_2', 'II_5', 'I_1', 'I_16', 'I_38', 'I_4', 'I_26', 'I_12', 'I_28', 'I_24']",[],['II_10']
"{'red': 5, 'blue': 1, 'green': 3, 'white': 0, 'black': 5, 'auto_color': 3}","['I_18', 'I_5', 'I_21', 'I_20']","['II_20', 'II_15', 'II_2', 'II_29']","['III_8', 'III_11', 'III_18', 'III_10']","['Noble_7', 'Noble_3', 'Noble_5', 'Noble_9', 'Noble_2']","['I_31', 'I_34', 'I_25', 'I_9', 'I_13', 'I_6', 'I_29', 'I_3', 'I_36', 'I_11']","['II_3', 'II_7', 'II_17', 'II_12', 'II_9', 'II_24', 'II_14', 'II_26', 'II_13', 'II_22', 'II_16', 'II_4', 'II_27', 'II_18', 'II_21', 'II_28']","['III_14', 'III_19', 'III_4', 'III_1', 'III_15', 'III_6', 'III_20', 'III_17', 'III_2', 'III_5', 'III_16', 'III_9', 'III_13', 'III_7', 'III_12', 'III_3']","['Noble_8', 'Noble_6', 'Noble_4', 'Noble_10', 'Noble_1']",6,"{'red': 1, 'blue': 2, 'green': 2, 'white': 4, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 3, 'green': 2, 'white': 0, 'black': 3}","['I_40', 'II_25', 'II_8', 'II_1', 'I_10', 'I_7', 'II_11', 'I_39']",[],[],5,"{'red': 1, 'blue': 4, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 1, 'white': 1, 'black': 1}","['I_35', 'II_6', 'II_23']",[],"['II_30', 'II_19']",1,"{'red': 0, 'blue': 0, 'green': 0, 'white': 3, 'black': 0, 'auto_color': 0}","{'red': 3, 'blue': 2, 'green': 1, 'white': 2, 'black': 2}","['I_17', 'I_30', 'I_27', 'I_8', 'I_22', 'I_37', 'I_14', 'I_33', 'I_19', 'I_15']",[],[],4,"{'red': 0, 'blue': 0, 'green': 2, 'white': 0, 'black': 1, 'auto_color': 0}","{'red': 2, 'blue': 2, 'green': 4, 'white': 3, 'black': 1}","['I_23', 'I_2', 'II_5', 'I_1', 'I_16', 'I_38', 'I_4', 'I_26', 'I_12', 'I_28', 'I_24', 'I_32']",[],['II_10']
"{'red': 4, 'blue': 0, 'green': 2, 'white': 4, 'black': 5, 'auto_color': 3}","['I_34', 'I_5', 'I_21', 'I_20']","['II_20', 'II_15', 'II_3', 'II_29']","['III_8', 'III_11', 'III_18', 'III_10']","['Noble_7', 'Noble_3', 'Noble_5', 'Noble_9', 'Noble_2']","['I_25', 'I_9', 'I_13', 'I_6', 'I_29', 'I_3', 'I_36', 'I_11']","['II_7', 'II_17', 'II_12', 'II_9', 'II_24', 'II_14', 'II_26', 'II_13', 'II_22', 'II_16', 'II_4', 'II_27', 'II_18', 'II_21', 'II_28']","['III_14', 'III_19', 'III_4', 'III_1', 'III_15', 'III_6', 'III_20', 'III_17', 'III_2', 'III_5', 'III_16', 'III_9', 'III_13', 'III_7', 'III_12', 'III_3']","['Noble_8', 'Noble_6', 'Noble_4', 'Noble_10', 'Noble_1']",8,"{'red': 1, 'blue': 2, 'green': 2, 'white': 0, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 3, 'green': 3, 'white': 0, 'black': 3}","['I_40', 'II_25', 'II_8', 'II_1', 'I_10', 'I_7', 'II_11', 'I_39', 'II_2']",[],[],5,"{'red': 2, 'blue': 5, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 1, 'white': 1, 'black': 1}","['I_35', 'II_6', 'II_23']",[],"['II_30', 'II_19']",1,"{'red': 0, 'blue': 0, 'green': 0, 'white': 3, 'black': 0, 'auto_color': 0}","{'red': 3, 'blue': 2, 'green': 1, 'white': 3, 'black': 2}","['I_17', 'I_30', 'I_27', 'I_8', 'I_22', 'I_37', 'I_14', 'I_33', 'I_19', 'I_15', 'I_31']",[],[],4,"{'red': 0, 'blue': 0, 'green': 2, 'white': 0, 'black': 1, 'auto_color': 0}","{'red': 3, 'blue': 2, 'green': 4, 'white': 3, 'black': 1}","['I_23', 'I_2', 'II_5', 'I_1', 'I_16', 'I_38', 'I_4', 'I_26', 'I_12', 'I_28', 'I_24', 'I_32', 'I_18']",[],['II_10']
