Board Stocks,Board I,Board II,Board III,Board Noble,BoardUpsiteDownI,BoardUpsiteDownII,BoardUpsiteDownIII,BoardUpsiteDownNoble,NA Score,NA Stocks,NA Stocks Const,NA Open,NA Noble,NA Upsite Down,Trang Score,Trang Stocks,Trang Stocks Const,Trang Open,Trang Noble,Trang Upsite Down,Thao Score,Thao Stocks,Thao Stocks Const,Thao Open,Thao Noble,Thao Upsite Down,Hieu Score,Hieu Stocks,Hieu Stocks Const,Hieu Open,Hieu Noble,Hieu Upsite Down
"{'red': 7, 'blue': 7, 'green': 7, 'white': 7, 'black': 7, 'auto_color': 5}","['I_11', 'I_33', 'I_38', 'I_6']","['II_22', 'II_6', 'II_27', 'II_2']","['III_4', 'III_2', 'III_7', 'III_14']","['Noble_10', 'Noble_9', 'Noble_8', 'Noble_4', 'Noble_7']","['I_17', 'I_23', 'I_30', 'I_22', 'I_34', 'I_26', 'I_13', 'I_19', 'I_10', 'I_9', 'I_39', 'I_7', 'I_16', 'I_15', 'I_12', 'I_35', 'I_31', 'I_8', 'I_27', 'I_25', 'I_4', 'I_40', 'I_20', 'I_32', 'I_14', 'I_29', 'I_28', 'I_36', 'I_21', 'I_5', 'I_37', 'I_18', 'I_3', 'I_24', 'I_2', 'I_1']","['II_21', 'II_29', 'II_9', 'II_30', 'II_1', 'II_8', 'II_3', 'II_7', 'II_26', 'II_28', 'II_17', 'II_20', 'II_12', 'II_4', 'II_24', 'II_14', 'II_23', 'II_19', 'II_15', 'II_5', 'II_16', 'II_25', 'II_11', 'II_13', 'II_10', 'II_18']","['III_1', 'III_8', 'III_19', 'III_15', 'III_16', 'III_13', 'III_10', 'III_12', 'III_3', 'III_6', 'III_9', 'III_18', 'III_20', 'III_5', 'III_17', 'III_11']","['Noble_1', 'Noble_5', 'Noble_2', 'Noble_3', 'Noble_6']",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 3, 'blue': 5, 'green': 6, 'white': 6, 'black': 7, 'auto_color': 4}","['I_11', 'I_33', 'I_38', 'I_6']","['II_22', 'II_21', 'II_27', 'II_2']","['III_4', 'III_2', 'III_7', 'III_14']","['Noble_10', 'Noble_9', 'Noble_8', 'Noble_4', 'Noble_7']","['I_17', 'I_23', 'I_30', 'I_22', 'I_34', 'I_26', 'I_13', 'I_19', 'I_10', 'I_9', 'I_39', 'I_7', 'I_16', 'I_15', 'I_12', 'I_35', 'I_31', 'I_8', 'I_27', 'I_25', 'I_4', 'I_40', 'I_20', 'I_32', 'I_14', 'I_29', 'I_28', 'I_36', 'I_21', 'I_5', 'I_37', 'I_18', 'I_3', 'I_24', 'I_2', 'I_1']","['II_29', 'II_9', 'II_30', 'II_1', 'II_8', 'II_3', 'II_7', 'II_26', 'II_28', 'II_17', 'II_20', 'II_12', 'II_4', 'II_24', 'II_14', 'II_23', 'II_19', 'II_15', 'II_5', 'II_16', 'II_25', 'II_11', 'II_13', 'II_10', 'II_18']","['III_1', 'III_8', 'III_19', 'III_15', 'III_16', 'III_13', 'III_10', 'III_12', 'III_3', 'III_6', 'III_9', 'III_18', 'III_20', 'III_5', 'III_17', 'III_11']","['Noble_1', 'Noble_5', 'Noble_2', 'Noble_3', 'Noble_6']",0,"{'red': 1, 'blue': 1, 'green': 0, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['II_6'],0,"{'red': 2, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 0, 'blue': 1, 'green': 4, 'white': 5, 'black': 6, 'auto_color': 4}","['I_11', 'I_33', 'I_38', 'I_6']","['II_22', 'II_21', 'II_27', 'II_2']","['III_4', 'III_2', 'III_7', 'III_14']","['Noble_10', 'Noble_9', 'Noble_8', 'Noble_4', 'Noble_7']","['I_17', 'I_23', 'I_30', 'I_22', 'I_34', 'I_26', 'I_13', 'I_19', 'I_10', 'I_9', 'I_39', 'I_7', 'I_16', 'I_15', 'I_12', 'I_35', 'I_31', 'I_8', 'I_27', 'I_25', 'I_4', 'I_40', 'I_20', 'I_32', 'I_14', 'I_29', 'I_28', 'I_36', 'I_21', 'I_5', 'I_37', 'I_18', 'I_3', 'I_24', 'I_2', 'I_1']","['II_29', 'II_9', 'II_30', 'II_1', 'II_8', 'II_3', 'II_7', 'II_26', 'II_28', 'II_17', 'II_20', 'II_12', 'II_4', 'II_24', 'II_14', 'II_23', 'II_19', 'II_15', 'II_5', 'II_16', 'II_25', 'II_11', 'II_13', 'II_10', 'II_18']","['III_1', 'III_8', 'III_19', 'III_15', 'III_16', 'III_13', 'III_10', 'III_12', 'III_3', 'III_6', 'III_9', 'III_18', 'III_20', 'III_5', 'III_17', 'III_11']","['Noble_1', 'Noble_5', 'Noble_2', 'Noble_3', 'Noble_6']",0,"{'red': 2, 'blue': 1, 'green': 0, 'white': 2, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['II_6'],0,"{'red': 2, 'blue': 2, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 1, 'blue': 0, 'green': 3, 'white': 5, 'black': 5, 'auto_color': 4}","['I_11', 'I_17', 'I_38', 'I_6']","['II_22', 'II_21', 'II_27', 'II_2']","['III_4', 'III_2', 'III_7', 'III_14']","['Noble_10', 'Noble_9', 'Noble_8', 'Noble_4', 'Noble_7']","['I_23', 'I_30', 'I_22', 'I_34', 'I_26', 'I_13', 'I_19', 'I_10', 'I_9', 'I_39', 'I_7', 'I_16', 'I_15', 'I_12', 'I_35', 'I_31', 'I_8', 'I_27', 'I_25', 'I_4', 'I_40', 'I_20', 'I_32', 'I_14', 'I_29', 'I_28', 'I_36', 'I_21', 'I_5', 'I_37', 'I_18', 'I_3', 'I_24', 'I_2', 'I_1']","['II_29', 'II_9', 'II_30', 'II_1', 'II_8', 'II_3', 'II_7', 'II_26', 'II_28', 'II_17', 'II_20', 'II_12', 'II_4', 'II_24', 'II_14', 'II_23', 'II_19', 'II_15', 'II_5', 'II_16', 'II_25', 'II_11', 'II_13', 'II_10', 'II_18']","['III_1', 'III_8', 'III_19', 'III_15', 'III_16', 'III_13', 'III_10', 'III_12', 'III_3', 'III_6', 'III_9', 'III_18', 'III_20', 'III_5', 'III_17', 'III_11']","['Noble_1', 'Noble_5', 'Noble_2', 'Noble_3', 'Noble_6']",0,"{'red': 2, 'blue': 2, 'green': 1, 'white': 2, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['II_6'],0,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 1, 'blue': 2, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['I_33'],[],[]
"{'red': 1, 'blue': 0, 'green': 3, 'white': 3, 'black': 6, 'auto_color': 4}","['I_23', 'I_17', 'I_38', 'I_6']","['II_22', 'II_21', 'II_27', 'II_2']","['III_4', 'III_2', 'III_7', 'III_14']","['Noble_10', 'Noble_9', 'Noble_8', 'Noble_4', 'Noble_7']","['I_30', 'I_22', 'I_34', 'I_26', 'I_13', 'I_19', 'I_10', 'I_9', 'I_39', 'I_7', 'I_16', 'I_15', 'I_12', 'I_35', 'I_31', 'I_8', 'I_27', 'I_25', 'I_4', 'I_40', 'I_20', 'I_32', 'I_14', 'I_29', 'I_28', 'I_36', 'I_21', 'I_5', 'I_37', 'I_18', 'I_3', 'I_24', 'I_2', 'I_1']","['II_29', 'II_9', 'II_30', 'II_1', 'II_8', 'II_3', 'II_7', 'II_26', 'II_28', 'II_17', 'II_20', 'II_12', 'II_4', 'II_24', 'II_14', 'II_23', 'II_19', 'II_15', 'II_5', 'II_16', 'II_25', 'II_11', 'II_13', 'II_10', 'II_18']","['III_1', 'III_8', 'III_19', 'III_15', 'III_16', 'III_13', 'III_10', 'III_12', 'III_3', 'III_6', 'III_9', 'III_18', 'III_20', 'III_5', 'III_17', 'III_11']","['Noble_1', 'Noble_5', 'Noble_2', 'Noble_3', 'Noble_6']",0,"{'red': 1, 'blue': 2, 'green': 0, 'white': 1, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}",['I_11'],[],[],0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['II_6'],0,"{'red': 2, 'blue': 2, 'green': 2, 'white': 2, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 2, 'blue': 2, 'green': 1, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['I_33'],[],[]
"{'red': 2, 'blue': 0, 'green': 4, 'white': 4, 'black': 6, 'auto_color': 4}","['I_23', 'I_17', 'I_22', 'I_6']","['II_22', 'II_21', 'II_27', 'II_2']","['III_4', 'III_2', 'III_7', 'III_14']","['Noble_10', 'Noble_9', 'Noble_8', 'Noble_4', 'Noble_7']","['I_34', 'I_26', 'I_13', 'I_19', 'I_10', 'I_9', 'I_39', 'I_7', 'I_16', 'I_15', 'I_12', 'I_35', 'I_31', 'I_8', 'I_27', 'I_25', 'I_4', 'I_40', 'I_20', 'I_32', 'I_14', 'I_29', 'I_28', 'I_36', 'I_21', 'I_5', 'I_37', 'I_18', 'I_3', 'I_24', 'I_2', 'I_1']","['II_29', 'II_9', 'II_30', 'II_1', 'II_8', 'II_3', 'II_7', 'II_26', 'II_28', 'II_17', 'II_20', 'II_12', 'II_4', 'II_24', 'II_14', 'II_23', 'II_19', 'II_15', 'II_5', 'II_16', 'II_25', 'II_11', 'II_13', 'II_10', 'II_18']","['III_1', 'III_8', 'III_19', 'III_15', 'III_16', 'III_13', 'III_10', 'III_12', 'III_3', 'III_6', 'III_9', 'III_18', 'III_20', 'III_5', 'III_17', 'III_11']","['Noble_1', 'Noble_5', 'Noble_2', 'Noble_3', 'Noble_6']",0,"{'red': 2, 'blue': 2, 'green': 1, 'white': 2, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}",['I_11'],[],[],0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['II_6'],0,"{'red': 2, 'blue': 2, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['I_38'],[],[],0,"{'red': 0, 'blue': 2, 'green': 1, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 1}","['I_33', 'I_30']",[],[]
"{'red': 1, 'blue': 0, 'green': 2, 'white': 4, 'black': 7, 'auto_color': 4}","['I_34', 'I_17', 'I_22', 'I_6']","['II_22', 'II_21', 'II_27', 'II_2']","['III_4', 'III_2', 'III_7', 'III_14']","['Noble_10', 'Noble_9', 'Noble_8', 'Noble_4', 'Noble_7']","['I_26', 'I_13', 'I_19', 'I_10', 'I_9', 'I_39', 'I_7', 'I_16', 'I_15', 'I_12', 'I_35', 'I_31', 'I_8', 'I_27', 'I_25', 'I_4', 'I_40', 'I_20', 'I_32', 'I_14', 'I_29', 'I_28', 'I_36', 'I_21', 'I_5', 'I_37', 'I_18', 'I_3', 'I_24', 'I_2', 'I_1']","['II_29', 'II_9', 'II_30', 'II_1', 'II_8', 'II_3', 'II_7', 'II_26', 'II_28', 'II_17', 'II_20', 'II_12', 'II_4', 'II_24', 'II_14', 'II_23', 'II_19', 'II_15', 'II_5', 'II_16', 'II_25', 'II_11', 'II_13', 'II_10', 'II_18']","['III_1', 'III_8', 'III_19', 'III_15', 'III_16', 'III_13', 'III_10', 'III_12', 'III_3', 'III_6', 'III_9', 'III_18', 'III_20', 'III_5', 'III_17', 'III_11']","['Noble_1', 'Noble_5', 'Noble_2', 'Noble_3', 'Noble_6']",0,"{'red': 2, 'blue': 2, 'green': 0, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}","['I_11', 'I_23']",[],[],0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['II_6'],0,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['I_38'],[],[],0,"{'red': 1, 'blue': 2, 'green': 2, 'white': 2, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 1}","['I_33', 'I_30']",[],[]
"{'red': 2, 'blue': 1, 'green': 2, 'white': 1, 'black': 6, 'auto_color': 4}","['I_26', 'I_17', 'I_22', 'I_6']","['II_22', 'II_21', 'II_27', 'II_2']","['III_4', 'III_2', 'III_7', 'III_14']","['Noble_10', 'Noble_9', 'Noble_8', 'Noble_4', 'Noble_7']","['I_13', 'I_19', 'I_10', 'I_9', 'I_39', 'I_7', 'I_16', 'I_15', 'I_12', 'I_35', 'I_31', 'I_8', 'I_27', 'I_25', 'I_4', 'I_40', 'I_20', 'I_32', 'I_14', 'I_29', 'I_28', 'I_36', 'I_21', 'I_5', 'I_37', 'I_18', 'I_3', 'I_24', 'I_2', 'I_1']","['II_29', 'II_9', 'II_30', 'II_1', 'II_8', 'II_3', 'II_7', 'II_26', 'II_28', 'II_17', 'II_20', 'II_12', 'II_4', 'II_24', 'II_14', 'II_23', 'II_19', 'II_15', 'II_5', 'II_16', 'II_25', 'II_11', 'II_13', 'II_10', 'II_18']","['III_1', 'III_8', 'III_19', 'III_15', 'III_16', 'III_13', 'III_10', 'III_12', 'III_3', 'III_6', 'III_9', 'III_18', 'III_20', 'III_5', 'III_17', 'III_11']","['Noble_1', 'Noble_5', 'Noble_2', 'Noble_3', 'Noble_6']",0,"{'red': 2, 'blue': 2, 'green': 1, 'white': 2, 'black': 1, 'auto_color': 0}","{'red': 1, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}","['I_11', 'I_23']",[],[],0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['II_6'],0,"{'red': 2, 'blue': 2, 'green': 2, 'white': 2, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['I_38'],[],[],0,"{'red': 0, 'blue': 1, 'green': 1, 'white': 2, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 2}","['I_33', 'I_30', 'I_34']",[],[]
"{'red': 3, 'blue': 2, 'green': 2, 'white': 3, 'black': 6, 'auto_color': 4}","['I_13', 'I_17', 'I_22', 'I_6']","['II_29', 'II_21', 'II_27', 'II_2']","['III_4', 'III_2', 'III_7', 'III_14']","['Noble_10', 'Noble_9', 'Noble_8', 'Noble_4', 'Noble_7']","['I_19', 'I_10', 'I_9', 'I_39', 'I_7', 'I_16', 'I_15', 'I_12', 'I_35', 'I_31', 'I_8', 'I_27', 'I_25', 'I_4', 'I_40', 'I_20', 'I_32', 'I_14', 'I_29', 'I_28', 'I_36', 'I_21', 'I_5', 'I_37', 'I_18', 'I_3', 'I_24', 'I_2', 'I_1']","['II_9', 'II_30', 'II_1', 'II_8', 'II_3', 'II_7', 'II_26', 'II_28', 'II_17', 'II_20', 'II_12', 'II_4', 'II_24', 'II_14', 'II_23', 'II_19', 'II_15', 'II_5', 'II_16', 'II_25', 'II_11', 'II_13', 'II_10', 'II_18']","['III_1', 'III_8', 'III_19', 'III_15', 'III_16', 'III_13', 'III_10', 'III_12', 'III_3', 'III_6', 'III_9', 'III_18', 'III_20', 'III_5', 'III_17', 'III_11']","['Noble_1', 'Noble_5', 'Noble_2', 'Noble_3', 'Noble_6']",1,"{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 1, 'auto_color': 0}","{'red': 1, 'blue': 1, 'green': 0, 'white': 1, 'black': 0}","['I_11', 'I_23', 'II_22']",[],[],0,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['II_6'],0,"{'red': 1, 'blue': 1, 'green': 0, 'white': 2, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 1}","['I_38', 'I_26']",[],[],0,"{'red': 1, 'blue': 2, 'green': 2, 'white': 2, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 2}","['I_33', 'I_30', 'I_34']",[],[]
"{'red': 3, 'blue': 2, 'green': 1, 'white': 3, 'black': 6, 'auto_color': 4}","['I_13', 'I_17', 'I_22', 'I_10']","['II_29', 'II_21', 'II_27', 'II_2']","['III_4', 'III_2', 'III_7', 'III_14']","['Noble_10', 'Noble_9', 'Noble_8', 'Noble_4', 'Noble_7']","['I_9', 'I_39', 'I_7', 'I_16', 'I_15', 'I_12', 'I_35', 'I_31', 'I_8', 'I_27', 'I_25', 'I_4', 'I_40', 'I_20', 'I_32', 'I_14', 'I_29', 'I_28', 'I_36', 'I_21', 'I_5', 'I_37', 'I_18', 'I_3', 'I_24', 'I_2', 'I_1']","['II_9', 'II_30', 'II_1', 'II_8', 'II_3', 'II_7', 'II_26', 'II_28', 'II_17', 'II_20', 'II_12', 'II_4', 'II_24', 'II_14', 'II_23', 'II_19', 'II_15', 'II_5', 'II_16', 'II_25', 'II_11', 'II_13', 'II_10', 'II_18']","['III_1', 'III_8', 'III_19', 'III_15', 'III_16', 'III_13', 'III_10', 'III_12', 'III_3', 'III_6', 'III_9', 'III_18', 'III_20', 'III_5', 'III_17', 'III_11']","['Noble_1', 'Noble_5', 'Noble_2', 'Noble_3', 'Noble_6']",1,"{'red': 0, 'blue': 1, 'green': 2, 'white': 1, 'black': 1, 'auto_color': 0}","{'red': 1, 'blue': 1, 'green': 0, 'white': 1, 'black': 0}","['I_11', 'I_23', 'II_22']",[],[],0,"{'red': 3, 'blue': 3, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['II_6'],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 2, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 1, 'black': 1}","['I_38', 'I_26', 'I_6']",[],[],0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 1, 'black': 2}","['I_33', 'I_30', 'I_34', 'I_19']",[],[]
