Board Stocks,Board I,Board II,Board III,Board Noble,BoardUpsiteDownI,BoardUpsiteDownII,BoardUpsiteDownIII,BoardUpsiteDownNoble,Hoang Score,Hoang Stocks,Hoang Stocks Const,Hoang Open,Hoang Noble,Hoang Upsite Down,Trang Score,Trang Stocks,Trang Stocks Const,Trang Open,Trang Noble,Trang Upsite Down,Thao12345 Score,Thao12345 Stocks,Thao12345 Stocks Const,Thao12345 Open,Thao12345 Noble,Thao12345 Upsite Down,Hieu Score,Hieu Stocks,Hieu Stocks Const,Hieu Open,Hieu Noble,Hieu Upsite Down
"{'red': 7, 'blue': 7, 'green': 7, 'white': 7, 'black': 7, 'auto_color': 5}","['I_4', 'I_37', 'I_28', 'I_12']","['II_5', 'II_14', 'II_11', 'II_30']","['III_12', 'III_18', 'III_11', 'III_5']","['Noble_1', 'Noble_2', 'Noble_6', 'Noble_5', 'Noble_4']","['I_18', 'I_6', 'I_14', 'I_22', 'I_8', 'I_39', 'I_33', 'I_35', 'I_26', 'I_7', 'I_17', 'I_40', 'I_13', 'I_25', 'I_3', 'I_31', 'I_21', 'I_32', 'I_1', 'I_2', 'I_5', 'I_30', 'I_16', 'I_29', 'I_20', 'I_23', 'I_15', 'I_38', 'I_19', 'I_11', 'I_36', 'I_10', 'I_9', 'I_24', 'I_34', 'I_27']","['II_28', 'II_22', 'II_8', 'II_27', 'II_12', 'II_6', 'II_1', 'II_3', 'II_23', 'II_9', 'II_10', 'II_4', 'II_17', 'II_26', 'II_15', 'II_18', 'II_24', 'II_13', 'II_16', 'II_2', 'II_29', 'II_25', 'II_21', 'II_7', 'II_19', 'II_20']","['III_13', 'III_9', 'III_2', 'III_16', 'III_19', 'III_1', 'III_8', 'III_15', 'III_7', 'III_6', 'III_20', 'III_17', 'III_14', 'III_4', 'III_3', 'III_10']","['Noble_7', 'Noble_3', 'Noble_8', 'Noble_10', 'Noble_9']",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 2, 'blue': 6, 'green': 6, 'white': 7, 'black': 7, 'auto_color': 4}","['I_4', 'I_37', 'I_28', 'I_12']","['II_5', 'II_14', 'II_11', 'II_28']","['III_12', 'III_18', 'III_11', 'III_5']","['Noble_1', 'Noble_2', 'Noble_6', 'Noble_5', 'Noble_4']","['I_18', 'I_6', 'I_14', 'I_22', 'I_8', 'I_39', 'I_33', 'I_35', 'I_26', 'I_7', 'I_17', 'I_40', 'I_13', 'I_25', 'I_3', 'I_31', 'I_21', 'I_32', 'I_1', 'I_2', 'I_5', 'I_30', 'I_16', 'I_29', 'I_20', 'I_23', 'I_15', 'I_38', 'I_19', 'I_11', 'I_36', 'I_10', 'I_9', 'I_24', 'I_34', 'I_27']","['II_22', 'II_8', 'II_27', 'II_12', 'II_6', 'II_1', 'II_3', 'II_23', 'II_9', 'II_10', 'II_4', 'II_17', 'II_26', 'II_15', 'II_18', 'II_24', 'II_13', 'II_16', 'II_2', 'II_29', 'II_25', 'II_21', 'II_7', 'II_19', 'II_20']","['III_13', 'III_9', 'III_2', 'III_16', 'III_19', 'III_1', 'III_8', 'III_15', 'III_7', 'III_6', 'III_20', 'III_17', 'III_14', 'III_4', 'III_3', 'III_10']","['Noble_7', 'Noble_3', 'Noble_8', 'Noble_10', 'Noble_9']",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['II_30'],0,"{'red': 2, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 2, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 0, 'blue': 3, 'green': 5, 'white': 6, 'black': 6, 'auto_color': 3}","['I_4', 'I_37', 'I_28', 'I_12']","['II_5', 'II_22', 'II_11', 'II_28']","['III_12', 'III_18', 'III_11', 'III_5']","['Noble_1', 'Noble_2', 'Noble_6', 'Noble_5', 'Noble_4']","['I_18', 'I_6', 'I_14', 'I_22', 'I_8', 'I_39', 'I_33', 'I_35', 'I_26', 'I_7', 'I_17', 'I_40', 'I_13', 'I_25', 'I_3', 'I_31', 'I_21', 'I_32', 'I_1', 'I_2', 'I_5', 'I_30', 'I_16', 'I_29', 'I_20', 'I_23', 'I_15', 'I_38', 'I_19', 'I_11', 'I_36', 'I_10', 'I_9', 'I_24', 'I_34', 'I_27']","['II_8', 'II_27', 'II_12', 'II_6', 'II_1', 'II_3', 'II_23', 'II_9', 'II_10', 'II_4', 'II_17', 'II_26', 'II_15', 'II_18', 'II_24', 'II_13', 'II_16', 'II_2', 'II_29', 'II_25', 'II_21', 'II_7', 'II_19', 'II_20']","['III_13', 'III_9', 'III_2', 'III_16', 'III_19', 'III_1', 'III_8', 'III_15', 'III_7', 'III_6', 'III_20', 'III_17', 'III_14', 'III_4', 'III_3', 'III_10']","['Noble_7', 'Noble_3', 'Noble_8', 'Noble_10', 'Noble_9']",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"['II_30', 'II_14']",0,"{'red': 2, 'blue': 2, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 3, 'blue': 0, 'green': 0, 'white': 1, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 0, 'blue': 2, 'green': 2, 'white': 5, 'black': 4, 'auto_color': 2}","['I_4', 'I_37', 'I_28', 'I_12']","['II_5', 'II_22', 'II_11', 'II_28']","['III_12', 'III_13', 'III_11', 'III_5']","['Noble_1', 'Noble_2', 'Noble_6', 'Noble_5', 'Noble_4']","['I_18', 'I_6', 'I_14', 'I_22', 'I_8', 'I_39', 'I_33', 'I_35', 'I_26', 'I_7', 'I_17', 'I_40', 'I_13', 'I_25', 'I_3', 'I_31', 'I_21', 'I_32', 'I_1', 'I_2', 'I_5', 'I_30', 'I_16', 'I_29', 'I_20', 'I_23', 'I_15', 'I_38', 'I_19', 'I_11', 'I_36', 'I_10', 'I_9', 'I_24', 'I_34', 'I_27']","['II_8', 'II_27', 'II_12', 'II_6', 'II_1', 'II_3', 'II_23', 'II_9', 'II_10', 'II_4', 'II_17', 'II_26', 'II_15', 'II_18', 'II_24', 'II_13', 'II_16', 'II_2', 'II_29', 'II_25', 'II_21', 'II_7', 'II_19', 'II_20']","['III_9', 'III_2', 'III_16', 'III_19', 'III_1', 'III_8', 'III_15', 'III_7', 'III_6', 'III_20', 'III_17', 'III_14', 'III_4', 'III_3', 'III_10']","['Noble_7', 'Noble_3', 'Noble_8', 'Noble_10', 'Noble_9']",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 3}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"['II_30', 'II_14', 'III_18']",0,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 3, 'blue': 0, 'green': 0, 'white': 1, 'black': 3, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 2, 'blue': 3, 'green': 3, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 0, 'blue': 2, 'green': 2, 'white': 4, 'black': 1, 'auto_color': 2}","['I_4', 'I_18', 'I_28', 'I_12']","['II_5', 'II_22', 'II_11', 'II_28']","['III_12', 'III_13', 'III_11', 'III_5']","['Noble_1', 'Noble_2', 'Noble_6', 'Noble_5', 'Noble_4']","['I_6', 'I_14', 'I_22', 'I_8', 'I_39', 'I_33', 'I_35', 'I_26', 'I_7', 'I_17', 'I_40', 'I_13', 'I_25', 'I_3', 'I_31', 'I_21', 'I_32', 'I_1', 'I_2', 'I_5', 'I_30', 'I_16', 'I_29', 'I_20', 'I_23', 'I_15', 'I_38', 'I_19', 'I_11', 'I_36', 'I_10', 'I_9', 'I_24', 'I_34', 'I_27']","['II_8', 'II_27', 'II_12', 'II_6', 'II_1', 'II_3', 'II_23', 'II_9', 'II_10', 'II_4', 'II_17', 'II_26', 'II_15', 'II_18', 'II_24', 'II_13', 'II_16', 'II_2', 'II_29', 'II_25', 'II_21', 'II_7', 'II_19', 'II_20']","['III_9', 'III_2', 'III_16', 'III_19', 'III_1', 'III_8', 'III_15', 'III_7', 'III_6', 'III_20', 'III_17', 'III_14', 'III_4', 'III_3', 'III_10']","['Noble_7', 'Noble_3', 'Noble_8', 'Noble_10', 'Noble_9']",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 2, 'auto_color': 3}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"['II_30', 'II_14', 'III_18']",0,"{'red': 2, 'blue': 2, 'green': 4, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 3, 'blue': 0, 'green': 1, 'white': 2, 'black': 4, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 2, 'blue': 3, 'green': 0, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['I_37'],[],[]
"{'red': 1, 'blue': 0, 'green': 4, 'white': 3, 'black': 0, 'auto_color': 1}","['I_4', 'I_18', 'I_6', 'I_14']","['II_5', 'II_22', 'II_11', 'II_28']","['III_12', 'III_13', 'III_11', 'III_5']","['Noble_1', 'Noble_2', 'Noble_6', 'Noble_5', 'Noble_4']","['I_22', 'I_8', 'I_39', 'I_33', 'I_35', 'I_26', 'I_7', 'I_17', 'I_40', 'I_13', 'I_25', 'I_3', 'I_31', 'I_21', 'I_32', 'I_1', 'I_2', 'I_5', 'I_30', 'I_16', 'I_29', 'I_20', 'I_23', 'I_15', 'I_38', 'I_19', 'I_11', 'I_36', 'I_10', 'I_9', 'I_24', 'I_34', 'I_27']","['II_8', 'II_27', 'II_12', 'II_6', 'II_1', 'II_3', 'II_23', 'II_9', 'II_10', 'II_4', 'II_17', 'II_26', 'II_15', 'II_18', 'II_24', 'II_13', 'II_16', 'II_2', 'II_29', 'II_25', 'II_21', 'II_7', 'II_19', 'II_20']","['III_9', 'III_2', 'III_16', 'III_19', 'III_1', 'III_8', 'III_15', 'III_7', 'III_6', 'III_20', 'III_17', 'III_14', 'III_4', 'III_3', 'III_10']","['Noble_7', 'Noble_3', 'Noble_8', 'Noble_10', 'Noble_9']",0,"{'red': 0, 'blue': 1, 'green': 1, 'white': 0, 'black': 3, 'auto_color': 3}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"['II_30', 'II_14', 'III_18']",1,"{'red': 2, 'blue': 2, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}",['I_28'],[],[],0,"{'red': 2, 'blue': 0, 'green': 1, 'white': 2, 'black': 4, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['I_12'],0,"{'red': 2, 'blue': 4, 'green': 1, 'white': 2, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['I_37'],[],[]
"{'red': 3, 'blue': 1, 'green': 4, 'white': 7, 'black': 3, 'auto_color': 3}","['I_8', 'I_18', 'I_6', 'I_14']","['II_5', 'II_22', 'II_11', 'II_28']","['III_12', 'III_9', 'III_11', 'III_5']","['Noble_1', 'Noble_2', 'Noble_6', 'Noble_5', 'Noble_4']","['I_39', 'I_33', 'I_35', 'I_26', 'I_7', 'I_17', 'I_40', 'I_13', 'I_25', 'I_3', 'I_31', 'I_21', 'I_32', 'I_1', 'I_2', 'I_5', 'I_30', 'I_16', 'I_29', 'I_20', 'I_23', 'I_15', 'I_38', 'I_19', 'I_11', 'I_36', 'I_10', 'I_9', 'I_24', 'I_34', 'I_27']","['II_8', 'II_27', 'II_12', 'II_6', 'II_1', 'II_3', 'II_23', 'II_9', 'II_10', 'II_4', 'II_17', 'II_26', 'II_15', 'II_18', 'II_24', 'II_13', 'II_16', 'II_2', 'II_29', 'II_25', 'II_21', 'II_7', 'II_19', 'II_20']","['III_2', 'III_16', 'III_19', 'III_1', 'III_8', 'III_15', 'III_7', 'III_6', 'III_20', 'III_17', 'III_14', 'III_4', 'III_3', 'III_10']","['Noble_7', 'Noble_3', 'Noble_8', 'Noble_10', 'Noble_9']",3,"{'red': 0, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['II_30'],[],"['II_14', 'III_18']",1,"{'red': 2, 'blue': 2, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}",['I_28'],[],['III_13'],0,"{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 4, 'auto_color': 1}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",['I_22'],[],['I_12'],0,"{'red': 2, 'blue': 3, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 1}","['I_37', 'I_4']",[],[]
"{'red': 0, 'blue': 0, 'green': 1, 'white': 5, 'black': 3, 'auto_color': 2}","['I_8', 'I_18', 'I_6', 'I_14']","['II_5', 'II_22', 'II_11', 'II_28']","['III_12', 'III_9', 'III_2', 'III_5']","['Noble_1', 'Noble_2', 'Noble_6', 'Noble_5', 'Noble_4']","['I_39', 'I_33', 'I_35', 'I_26', 'I_7', 'I_17', 'I_40', 'I_13', 'I_25', 'I_3', 'I_31', 'I_21', 'I_32', 'I_1', 'I_2', 'I_5', 'I_30', 'I_16', 'I_29', 'I_20', 'I_23', 'I_15', 'I_38', 'I_19', 'I_11', 'I_36', 'I_10', 'I_9', 'I_24', 'I_34', 'I_27']","['II_8', 'II_27', 'II_12', 'II_6', 'II_1', 'II_3', 'II_23', 'II_9', 'II_10', 'II_4', 'II_17', 'II_26', 'II_15', 'II_18', 'II_24', 'II_13', 'II_16', 'II_2', 'II_29', 'II_25', 'II_21', 'II_7', 'II_19', 'II_20']","['III_16', 'III_19', 'III_1', 'III_8', 'III_15', 'III_7', 'III_6', 'III_20', 'III_17', 'III_14', 'III_4', 'III_3', 'III_10']","['Noble_7', 'Noble_3', 'Noble_8', 'Noble_10', 'Noble_9']",3,"{'red': 1, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['II_30'],[],"['II_14', 'III_18']",1,"{'red': 2, 'blue': 2, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}",['I_28'],[],"['III_13', 'III_11']",0,"{'red': 1, 'blue': 0, 'green': 2, 'white': 1, 'black': 4, 'auto_color': 1}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",['I_22'],[],['I_12'],0,"{'red': 3, 'blue': 3, 'green': 2, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 1}","['I_37', 'I_4']",[],[]
"{'red': 1, 'blue': 1, 'green': 0, 'white': 6, 'black': 6, 'auto_color': 2}","['I_8', 'I_18', 'I_39', 'I_14']","['II_27', 'II_22', 'II_11', 'II_28']","['III_12', 'III_9', 'III_2', 'III_5']","['Noble_1', 'Noble_2', 'Noble_6', 'Noble_5', 'Noble_4']","['I_33', 'I_35', 'I_26', 'I_7', 'I_17', 'I_40', 'I_13', 'I_25', 'I_3', 'I_31', 'I_21', 'I_32', 'I_1', 'I_2', 'I_5', 'I_30', 'I_16', 'I_29', 'I_20', 'I_23', 'I_15', 'I_38', 'I_19', 'I_11', 'I_36', 'I_10', 'I_9', 'I_24', 'I_34', 'I_27']","['II_12', 'II_6', 'II_1', 'II_3', 'II_23', 'II_9', 'II_10', 'II_4', 'II_17', 'II_26', 'II_15', 'II_18', 'II_24', 'II_13', 'II_16', 'II_2', 'II_29', 'II_25', 'II_21', 'II_7', 'II_19', 'II_20']","['III_16', 'III_19', 'III_1', 'III_8', 'III_15', 'III_7', 'III_6', 'III_20', 'III_17', 'III_14', 'III_4', 'III_3', 'III_10']","['Noble_7', 'Noble_3', 'Noble_8', 'Noble_10', 'Noble_9']",3,"{'red': 1, 'blue': 2, 'green': 3, 'white': 1, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['II_30'],[],"['II_14', 'III_18']",1,"{'red': 2, 'blue': 2, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 3}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}",['I_28'],[],"['III_13', 'III_11', 'II_5']",2,"{'red': 1, 'blue': 0, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}","['I_22', 'II_8']",[],['I_12'],0,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 2, 'white': 0, 'black': 1}","['I_37', 'I_4', 'I_6']",[],[]
"{'red': 2, 'blue': 1, 'green': 2, 'white': 5, 'black': 2, 'auto_color': 2}","['I_8', 'I_18', 'I_39', 'I_14']","['II_12', 'II_22', 'II_11', 'II_28']","['III_12', 'III_9', 'III_2', 'III_5']","['Noble_1', 'Noble_2', 'Noble_6', 'Noble_5', 'Noble_4']","['I_33', 'I_35', 'I_26', 'I_7', 'I_17', 'I_40', 'I_13', 'I_25', 'I_3', 'I_31', 'I_21', 'I_32', 'I_1', 'I_2', 'I_5', 'I_30', 'I_16', 'I_29', 'I_20', 'I_23', 'I_15', 'I_38', 'I_19', 'I_11', 'I_36', 'I_10', 'I_9', 'I_24', 'I_34', 'I_27']","['II_6', 'II_1', 'II_3', 'II_23', 'II_9', 'II_10', 'II_4', 'II_17', 'II_26', 'II_15', 'II_18', 'II_24', 'II_13', 'II_16', 'II_2', 'II_29', 'II_25', 'II_21', 'II_7', 'II_19', 'II_20']","['III_16', 'III_19', 'III_1', 'III_8', 'III_15', 'III_7', 'III_6', 'III_20', 'III_17', 'III_14', 'III_4', 'III_3', 'III_10']","['Noble_7', 'Noble_3', 'Noble_8', 'Noble_10', 'Noble_9']",3,"{'red': 2, 'blue': 3, 'green': 2, 'white': 1, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['II_30'],[],"['II_14', 'III_18']",1,"{'red': 2, 'blue': 2, 'green': 0, 'white': 0, 'black': 2, 'auto_color': 3}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}",['I_28'],[],"['III_13', 'III_11', 'II_5']",2,"{'red': 1, 'blue': 0, 'green': 3, 'white': 1, 'black': 1, 'auto_color': 0}","{'red': 1, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}","['I_22', 'II_8']",[],['I_12'],2,"{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 2, 'white': 0, 'black': 2}","['I_37', 'I_4', 'I_6', 'II_27']",[],[]
